cha    陳
lee    李
che    張
wan    王
ho     何
au     歐
kui    區
cho    周
wu     胡
ma     馬
mak    麥
sze    史
liu    廖
lam    林
bak    白
cho    蔡
che    鄭
chi    趙
chi    蔣
sze    施
bau    包
kam    金
ku     古
cho    曹
chu    徐
chu    朱
tsa    曾
tse    謝
kwa    關
kwo    郭
chi    子
tsz    慈
tat    達
tak    德
kwo    國
kwa    軍
kwa    君
gwg    光
gwg    廣
  
