cyv  鑲
cyz  釙
czj  鏈
czr  鎚
d    木
da   杳
daw  欄
dah  楊
daj  桿
dam  查
damz 榻
dap  棍
dar  櫚
dau  概
dauz 杷
dawz 楣
db   相
dbb  棚
dbd  棗
dbg  榷
dbh  鬱
dbn  刺
dbr  桐
dbt  柵
dbuz 榣
dbv  櫻
dch  梯
dci  松
dd   林
ddb  棘
ddc  楝
ddd  森
ddf  禁
ddfz 焚
ddh  材
ddhz 彬
ddi  梵
ddk  樊
ddp  麓
ddq  攀
ddr  礬
ddv  婪
ddw  棟
ddz  楚
de   皮
dec  頗
ded  樑
der  格
df   杰
dfb  梢
dfe  隸
dfh  杪
dfw  檔
dg   杜
dgc  櫝
dgg  桂
dggz 檯
dgq  樹
dgqz 檮
dgr  桔
dgu  橈
dgw  檣
dh   才
dha  柏
dhb  橋
dhbz 棉
dhd  株
dhe  板
dhh  杉
dhi  楓
dhiz 槐
dhk  檄
dhl  析
dvl  柳
dhlz 櫛
dhm  柢
dhnz 桁
dhq  榭
dhs  柞
dhu  橇
dhuz 梔
dhw  榴
dhy  柝
di   寸
die  梭
diez 梂
dif  槭
dii  棧
dil  榔
diq  櫥
dit  械
dj   末
dja  楮
djb  柿
djc  檳
dje  枝
djf  棕
djj  楠
djk  杖
djm  植
djn  檸
djr  枯
djl  棺
djrz 榕
djs  榨
dju  梡
dk   校
dkz  整
dkr  椅
dl   束
dlb  橢
dlc  賴
dle  棣
dlk  敕
dln  剌
dlo  桃
dlu  枕
dlv  樓
dlw  柚
dm   本
dmb  柄
dmc  槓
dmf  標
dmfz 杯
dmg  枉
dmj  杆
dmjz 枰
dmk  梗
dmkz 橄
dmm  極
dmmz 桓
dmp  欐
dmr  梧
dmrz 柯
dmrz 櫺
dms  朽
dmv  棲
dmy  杠
dn   李
dna  櫓
dnb  桶
dnbz 橘
dnn  杼
dnnz 栘
dno  橡
dnp  懋
dnr  檐
dnt  橙
dntz 楹
dnu  桅
doa  檜
dof  樵
dog  椎
doj  杵
dojz 榫
dok  枚
dom  栓
don  榆
doo  檢
dos  槍
doy  梅
doz  樅
dp   想
dpa  楷
dpi  杓
dpp  枇
dpr  枸
dpu  皰
dq   村
dqd  榛
dsi  韌
dqk  楔
dql  梆
dqq  棒
dqu  樁
dbu  韜
dr   杏
drd  橾
drj  楫
drq  韋
drs  枴
ds   榜
dsc  櫃
dsg  框
dsgs 櫂
dsl  椰
dsm  栩
dso  柩
dsr  樞
dst  檻
dsu  杞
dsw  欖
dt   來
dta  槽
dtb  構
dc   橫
dtc  棋
te   樣
dtg  權
dtj  樺
dtk  模
dtm  柑
dto  樸
dtoz 檬
dtq  樽
dtr  楛
du   札
duf  紮
dv   根
dw   東
dwf  柬
dwd  棵
dwdz 梱
dwl  柙
dws  楞
dx   Ｄ
dxx  ｄ
dy   朴
dyb  槁
dyc  楨
dye  椒
dyg  柱
dyj  梓
dyjz 樟
dyjz 棹
dyjz 枓
dyl  槨
dym  檀
dyn  杭
dyo  核
dys  枋
dyu  梳
dyuz 櫬
dz   機
dzg  梃
dzr  槌
e    水
ea   汨
eaa  澗
eaw  瀾
eae  漫
eaez 瀑
