pin d  ch rank
bok 3  嶨 6645
bok 3  襮 6941
bok 3  壆 7090
bok 6  薄 0892
bok 6  雹 2900
bok 6  鉑 3304
bok 6  箔 3872
bok 6  濼 6150
bog    幫 0539
bog    邦 1396
bog    梆 3136
bog 2  膀 2297
bog 2  榜 2407
bog 2  綁 2681
bog 2  鎊 3108
bog 6  傍 2807
bog 6  磅 3072
bo     哺 3342
bo     褒 4017
bo     餔 4473
bo     逋 5018
bo     煲 5152
bo     晡 6694
bo  2  保 0264
bo  2  補 0895
bo  2  寶 1163
bo  2  堡 1994
bo  2  葆 3855
bo  2  鴇 4134
bo  2  褓 5093
bo  2  孬 5414
bo  2  鵏 6573
bo  3  報 0334
bo  3  布 0537
bo  3  佈 0836
bo  3  埔 1354
bo  3  怖 2714
bo  3  鈽 5021
bo  6  部 0069
bo  6  步 0362
bo  6  捕 1152
bo  6  暴 1155
bo  6  簿 3338
bo  6  埗 7401
bui    杯 1727
bui    盃 7093
bui 3  背 0878
bui 3  貝 1465
bui 3  輩 1656
bui 3  鋇 3315
bui 3  狽 3485
bui 3  褙 3488
bui 3  悖 4708
bui 3  蓓 5491
bui 3  梖 5749
bui 3  邶 6019
bui 3  揹 7092
bui 6  焙 3460
bui 6  孛 5043
buk    卜 2237
buk    卟 7404
buk 6  僕 2230
buk 6  曝 2852
buk 6  瀑 2983
buk 6  濮 5451
buk 6  蹼 5676
buk 6  襆 5815
buk 6  醭 6527
buk 6  鏷 6998
buk 6  仆 7176
boo    般 0418
boo    搬 1743
boo 2  本 0099
boo 2  苯 1451
boo 2  畚 5068
boo 3  半 0409
boo 3  靽 5692
boo 6  伴 1589
boo 6  叛 1684
boo 6  拌 1902
boo 6  胖 2446
boo 6  畔 2916
boo 6  絆 3712
bug 2  捧 2310
bug 2  玤 6772
bug 2  琫 6774
but 3  缽 3660
but 3  砵 7096
but 6  撥 1505
but 6  勃 1734
but 6  脖 2606
but 6  渤 3215
but 6  荸 3580
but 6  餑 4159
but 6  襏 4738
but 6  浡 5445
but 6  鵓 7051
cx     Ｃ 7130
ca     差 0575
ca     叉 2225
ca     岔 2997
ca     杈 4243
ca     汊 5442
cih    釵 6028
ca  3  詫 3240
ca  3  奼 4973
ca  3  衩 6489
ca  4  查 0453
ca  4  茶 0809
ca  4  碴 4010
ca  4  搽 5223
ca  4  楂 5232
ca  4  垞 5556
ca  4  槎 6130
cha 4  陳 0714
cih    猜 2286
cor    搓 2896
cih    搋 6685
cih 2  踩 2815
cih 2  踹 4880
cih 3  嘬 6311
cih 3  瘥 6792
cih 3  蠆 6929
cih 4  柴 1339
cih 4  豺 4467
cis 4  茈 5982
cih 4  儕 6065
cak    測 0710
cak    惻 5051
cak 3  策 0650
cak 3  冊 1876
cak 3  拆 1944
cak 3  筴 6446
cak 3  坼 6611
cak 6  賊 2172
cam    摻 2724
cam    攙 3551
cam    驂 7030
cam 2  慘 2000
cam 2  憯 6671
cam 3  杉 2567
cam 3  懺 4911
cam 3  讖 5669
cam 4  蠶 2401
cam 4  慚 3307
cam 4  饞 4227
cam 4  蚕 4427
cam 4  讒 4567
cam 4  鑱 5185
cam 4  棖 6128
cam 4  巉 6647
can 2  產 0049
can    餐 2224
can 4  殘 1169
can 2  鏟 2459
can 2  剷 4582
can 2  滻 6398
can 3  燦 2782
can 3  璨 4524
can 3  粲 5002
cag    撐 2039
cag    瞠 5335
cag 2  橙 3058
cag 4  傖 4960
cap 3  插 1228
cap 3  鍤 6538
cad 3  察 0747
cad 3  擦 1311
cad 3  刷 1771
cad 3  嚓 5038
cad 3  唰 5127
cad 3  獺 5615
cao    抄 2276
cao    鈔 2522
cao    勦 4902
cao 2  炒 1726
cao 2  吵 2304
cao 2  耖 5647
cao 4  巢 2876
cai    妻 1545
cai    淒 2781
cai    栖 2788
cai    萋 3747
cai    棲 4244
cai    沏 4359
cai    悽 5735
cai    郪 6023
cai    凄 7098
cai 3  砌 1865
cai 4  齊 0973
cai 4  薺 4462
cai 4  蠐 6219
cai 5  鮆 5190
cai 5  鱭 6044
cum    侵 0763
cum    駸 4892
cum    棽 5914
cum 2  寢 3143
cum 2  磣 6180
cum 3  唚 6080
cum 3  譖 6229
cum 4  沉 0863
cum 4  尋 1522
cum 4  潯 5148
cum 4  鱘 5391
cum 4  撏 5427
cum 4  灊 5767
cum 4  蕁 6481
cum 5  蕈 5087
cen    親 0450
cen    嗔 4396
cen    瞋 6806
cen 2  診 2427
cen 2  抻 4554
cen 2  殄 5440
cen 2  疢 5461
cen 2  袗 5662
cen 2  哂 5869
cen 2  疹 5949
cen 2  矧 6436
cen 3  襯 2166
cen 3  趁 2385
cen 3  櫬 6376
cen 3  齔 6579
cen 4  塵 1165
cag    鐺 3950
cag    噌 6085
cag 4  層 0467
cag 4  曾 0635
cag 4  嶒 6644
cup    輯 1758
cup    緝 2972
cup    戢 4837
cup    葺 5085
cup    蕺 5808
cat    七 0272
cat    漆 1709
cat    桼 5586
cat    柒 6704
cau    秋 0912
cau    抽 1095
cau    楸 5319
cau    篘 5343
cau    鰍 5703
cau    鞦 5851
cau    萩 5988
cau    紬 6191
cau    偢 7099
cau 2  醜 2442
cau 2  瞅 2814
cau 2  丑 3176
cau 2  杻 5584
cau 3  臭 2201
cau 3  湊 2268
cau 3  溴 2519
cau 3  嗅 3156
cau 3  糗 5789
cau 3  殠 6725
cau 3  輳 6972
cau 4  籌 1701
cau 4  酬 2022
cau 4  綢 2219
cau 4  疇 2410
cau 4  稠 2689
cau 4  囚 3094
cau 4  躊 3716
cau 4  酋 3731
cau 4  惆 4651
cau 4  遒 4803
cau 4  蝤 5090
cau 4  泅 5443
cau 4  裯 6004
cau 4  讎 6232
cau 4  儔 6586
cau 4  犨 6758
ce     車 0319
ce     奢 3052
ce     硨 6810
ce     唓 7101
ce  2  且 0366
ce  2  扯 2122
ce  2  哆 3861
ce  4  斜 1045
ce  4  邪 2538
ce  4  輋 7102
ce  6  灺 6747
cec 3  尺 1100
cec 3  赤 1472
cec 3  呎 5202
cui    吹 1188
cui    催 1393
cui    趨 1652
cui    摧 2110
cui    炊 2844
cui    崔 2990
cui    蛆 4463
cui    璀 4602
cui 2  取 0252
cui 2  娶 2977
cui 2  揣 3586
cui 3  趣 1533
cui 3  脆 1894
cui 3  翠 2234
cui 3  淬 3416
cui 3  覷 4873
cui 3  綷 4932
cui 3  啐 5295
cui 3  橇 5437
cui 4  除 0429
cui 4  隨 0503
cui 4  徐 1179
cui 4  錘 2298
cui 4  隋 2838
cui 4  捶 3620
cui 4  槌 4357
cui 4  蜍 6217
cui 4  棰 6714
cui 4  箠 6827
cui 4  篨 6828
cui 4  搥 7127
cui 4  鎚 7128
cun    春 0622
cun    椿 3481
cun 2  蠢 3034
cun 4  秦 1119
cun 4  循 1380
cun 4  巡 1520
cun 4  旬 1885
cun 4  栒 5317
cot    出 0029
cot    焌 6408
cot    齣 7129
cee    雌 2315
cee    痴 2984
cee    魑 3272
cee    疵 3554
cee    哧 4081
cee    笞 4123
cee    嗤 4395
cee    嘁 4827
cee    胔 5254
cee    蚩 6215
cee    鴟 6284
cee    瓻 6428
cee    郗 6977
cee    癡 7105
cee    黐 7106
ci  2  此 0159
ci  2  始 0469
ci  2  齒 1213
ci  2  恥 2326
ci  2  矢 2580
ci  2  柿 3286
ci  2  侈 3384
ci  2  跐 3857
ci  2  豕 5265
ci  2  褫 5813
ci  2  泚 6390
ci  2  杝 7456
ci  3  次 0199
ci  3  刺 1313
ci  3  幟 2227
ci  3  翅 2263
ci  3  賜 2455
ci  3  熾 3146
ci  3  廁 3476
ci  3  啻 5035
ci  3  佽 6057
ci  3  眙 6801
ci  4  持 0384
ci  4  磁 0888
ci  4  池 1146
ci  4  詞 1161
ci  4  瓷 1607
ci  4  遲 1673
ci  4  辭 1746
ci  4  馳 2139
ci  4  茬 2412
ci  4  慈 2453
ci  4  茨 2793
ci  4  弛 3037
ci  4  祠 3578
ci  4  臍 4281
ci  4  泜 4989
ci  4  踟 5513
ci  4  餈 5695
ci  4  鶿 6288
ci  4  墀 6321
ci  4  茌 6470
ci  5  似 0592
ci  5  滍 3324
ci  5  峙 3352
ci  5  恃 3396
ci  5  姒 5130
ci  5  汜 5921
cik    斥 1772
cik    戚 2121
cik    槭 3621
cik    飭 3732
cik    敕 4328
cik    栻 4773
cik    叱 4903
cik    慼 5422
cik    螫 5498
cik    彳 6659
cik    鶒 7053
cim    纖 1131
cim    簽 1586
cim    殲 2609
cim    暹 4210
cim    籤 4217
cim    僉 5541
cim    櫼 6134
cim    銛 6987
cim 2  諂 5504
cim 3  塹 4109
cim 3  僭 5200
cim 4  潛 1418
cim 4  燂 6754
cin    千 0403
cin    遷 1925
cin    芊 4013
cin    扦 4111
cin    阡 4197
cin    仟 6054
cin    韆 7013
cin 2  錢 0664
cin 2  淺 1550
cin 2  闡 2186
cin 2  囅 6087
cin 2  嘽 6310
cin 2  蕆 6479
cin 4  前 0115
cin 4  纏 2355
cin 4  瀍 5150
cin 4  廛 5217
cin 5  踐 0900
cig    清 0300
cig    青 0411
cig    稱 0425
cig    氰 2574
cig    菁 4067
cig    偁 4581
cig    蜻 5089
cig    蟶 5369
cig    檉 5594
cig    鯖 6568
cig    赬 6961
cig 2  請 0679
cig 2  逞 3184
cig 2  拯 3672
cig 2  騁 4347
cig 2  郢 4945
cig 3  秤 2557
cig 4  情 0174
cig 4  程 0186
cig 4  呈 1340
cig 4  懲 1906
cig 4  晴 2178
cig 4  澄 2311
cig 4  餳 5525
cig 4  裎 6491
cig 4  埕 6613
cip 3  妾 3546
cip 3  跕 5826
cip 3  唼 6599
cit 3  設 0203
cit 3  切 0309
cit 3  徹 1042
cit 3  撤 1547
