pin d  ch rank
do  6  蹈 2777
do  6  鍍 2812
do  6  燾 2963
do  6  纛 6847
duk    督 0916
duk    篤 3337
duk 6  獨 0672
duk 6  讀 0850
duk 6  毒 1071
duk 6  瀆 3235
duk 6  黷 3952
duk 6  牘 4411
duk 6  犢 4412
duk 6  髑 5530
dug    東 0275
dug    冬 1180
dug    氡 3357
dug    咚 3420
dug    鼕 4633
dug    柊 7459
dug 2  懂 1455
dug 2  董 1937
dug 2  踵 4317
dug 3  凍 1699
dug 6  動 0040
dug 6  洞 1350
dug 6  棟 2701
dug 6  峒 3243
dug 6  恫 3263
dug 6  慟 3933
dug 6  侗 4898
dug 6  垌 5209
dug 6  胴 6865
due    端 0658
due    耑 3465
due 2  短 0733
due 3  鍛 1886
due 3  碫 4528
due 6  段 0369
due 6  緞 3226
due 6  椴 4845
dyt    嘟 3756
dyt 6  奪 0999
dyt 6  敓 5746
ex     Ｅ 7150
fx     Ｆ 7177
fa     花 0314
fa  3  化 0076
fi  3  快 0452
fi  3  塊 0708
fi  3  傀 3209
fi  3  筷 3237
fi  3  噲 5551
fan    翻 0898
fan    番 1760
fan    幡 5306
fan    繙 6194
fan 2  反 0142
fan 2  返 1785
fan 3  泛 1106
fan 3  畈 4604
fan 3  氾 6384
fan 4  繁 1091
fan 4  凡 1205
fan 4  煩 1932
fan 4  藩 2351
fan 4  帆 2598
fan 4  礬 3463
fan 4  樊 3482
fan 4  蕃 3728
fan 4  釩 4156
fan 4  蘩 4220
fan 4  梵 4842
fan 4  蟠 5175
fan 4  璠 5944
fan 4  燔 6155
fan 4  墦 6322
fan 4  蹯 6967
fan 5  販 2561
fan 6  犯 0601
fan 6  範 0670
fan 6  飯 0993
fan 6  瓣 2583
fan 6  范 3662
fan 6  汎 7151
fad 3  發 0038
fad 3  法 0059
fad 3  砝 3071
fad 3  琺 5941
fad 3  髮 7152
fai    揮 0786
fai    輝 1620
fai    徽 1952
fai    褘 3448
fai    暉 3905
fai    翬 3916
fai    煇 5151
fai    麾 5291
fai    撝 6682
fai    隳 7006
fai 2  痱 4928
fai 3  費 0576
fai 3  廢 1219
fai 3  沸 1798
fai 3  肺 2133
fai 3  鐨 6542
fai 3  怫 6662
fai 3  芾 6883
fai 6  吠 3900
fun    分 0031
fun    紛 1192
fun    婚 1225
fun    酚 1899
fun    昏 1975
fun    芬 2202
fun    勳 2322
fun    氛 2359
fun    熏 3216
fun    吩 3574
fun    棻 4003
fun    窨 4042
fun    雰 4131
fun    葷 4373
fun    燻 4598
fun    醺 4885
fun    薰 5173
fun    緡 5250
fun    閽 6545
fun    惛 6665
fun    獯 6770
fun    勛 7160
fun    枌 7164
fun    砏 7167
fun    羒 7169
fun    翂 7170
fun 2  粉 0700
fun 3  訓 0803
fun 3  糞 2029
fun 3  瀵 6407
fun 3  瞓 7166
fun 4  墳 2720
fun 4  焚 2803
fun 4  汾 3346
fun 4  棼 5915
fun 4  濆 6739
fun 4  鼢 7070
fun 4  妢 7162
fun 4  蒶 7171
fun 4  蕡 7172
fun 4  魵 7175
fun 5  奮 1142
fun 5  憤 1611
fun 5  忿 2772
fun 5  僨 4257
fun 6  份 1070
fat    忽 1123
fat    氟 2111
fat    弗 2650
fat    拂 2938
fat    窟 3417
fat    惚 4264
fat    狒 4853
fat    彿 4978
fat    囫 5408
fat    淴 5605
fat    韍 5693
fat    魆 5701
fat    艴 5800
fat    祓 5961
fat    黻 6051
fat    堀 6092
fat    紱 6190
fat    巿 6649
fat    笏 6823
fat    茀 6886
fat 6  閥 1327
fat 6  佛 1360
fat 6  罰 1416
fat 6  乏 1485
fat 6  伐 1560
fat 6  筏 3091
fau 2  否 0688
fau 2  剖 2265
fau 2  缶 6460
fau 4  浮 1177
fau 4  涪 4718
fau 4  罦 5350
fau 4  芣 5356
fau 4  蜉 5366
fau 4  稃 5632
fau 4  裒 6936
fau 6  埠 3344
fau 6  阜 3366
fe     啡 2688
fei    非 0393
fei    飛 0633
fei    菲 2146
fei    妃 2173
fei    蜚 4283
fei    霏 4288
fei    扉 4480
fei    緋 4493
fei    鯡 5025
fei 2  匪 2352
fei 2  誹 3450
fei 2  翡 4126
fei 2  斐 4402
fei 2  榧 5917
fei 2  悱 6109
fei 2  朏 6368
fei 4  肥 0817
fei 4  淝 5604
fei 4  腓 5649
fei 6  剕 5201
for    科 0343
for    稞 4418
for    窠 4787
for    蝌 5496
for    髁 7031
for 2  火 0482
for 2  伙 1289
for 2  顆 1477
for 2  夥 3178
for 3  貨 0771
for 3  課 0970
for 3  騍 7155
fok 3  霍 2014
fok 3  攫 3201
fok 3  钁 4687
fok 3  藿 5365
fok 3  矍 6177
fog    方 0053
fog    芳 1282
fog    荒 1535
fog    慌 1966
fog    肪 2087
fog    坊 2539
fog    謊 2712
fog    鈁 4746
fog    枋 4772
fog    肓 5648
fog    邡 6520
fog 2  訪 1063
fog 2  紡 1218
fog 2  仿 1434
fog 2  晃 2266
fog 2  恍 3387
fog 2  幌 3561
fog 2  彷 3864
fog 2  倣 5124
fog 2  舫 5171
fog 2  榥 5592
fog 2  昉 5902
fog 2  髣 7032
fog 2  怳 7153
fog 3  放 0242
fog 3  況 0356
fog 3  絖 5640
fog 3  貺 6957
fog 4  防 0528
fog 4  房 0697
fog 4  妨 2071
fog 4  魴 3543
fu     夫 0613
fu     呼 0937
fu     枯 1870
fu     膚 2466
fu     俘 2495
fu     敷 2773
fu     孵 2851
fu     孚 3560
fu     挎 4112
fu     郛 4225
fu     幠 4479
fu     伕 4634
fu     鄜 4946
fu     骷 5699
fu     桴 5747
fu     鈇 6029
fu     刳 6069
fu     滹 6145
fu     趺 6509
fu     跗 6510
fu     莩 6889
fu 2   府 0432
fu 2   苦 0722
fu 2   虎 1483
fu 2   撫 1565
fu 2   俯 2649
fu 2   釜 2898
fu 2   斧 3080
fu 2   腑 3892
fu 2   唬 3929
fu 2   拊 4656
fu 2   俛 4820
fu 2   琥 4924
fu 2   莆 4937
fu 2   滏 6144
fu 2   楛 6372
fu 2   黼 6578
fu 2   簠 6832
fu 2   頫 7015
fu 2   嘸 7362
fu 3   富 0621
fu 3   副 0665
fu 3   庫 0998
fu 3   賦 1773
fu 3   褲 2179
fu 3   咐 2825
fu 3   戽 5738
fu 4   乎 0841
fu 4   符 1022
fu 4   扶 1783
fu 4   芙 3873
fu 4   鳧 4815
fu 4   苻 6887
fu 5   婦 1171
fu 6   負 0602
fu 6   附 0808
fu 6   父 0820
fu 6   付 1176
fu 6   腐 1237
fu 6   輔 1702
fu 6   赴 1928
fu 6   傅 1941
fu 6   鮒 3350
fu 6   駙 4160
fu 6   訃 5264
fu 6   蝜 5497
fu 6   祔 6181
fu 6   賻 6507
fui    灰 1077
fui    恢 1241
fui    魁 2960
fui    奎 3318
fui    詼 4070
fui    悝 4352
fui    虺 6912
fui 2  洧 5924
fui 2  闠 7002
fui 2  鮪 7040
fui 3  悔 2572
fui 3  晦 3602
fui 3  誨 4151
fui 3  喙 4439
fuk    複 0843
fuk    福 0880
fuk    幅 1029
fuk    覆 1793
fuk    腹 1943
fuk    輻 2210
fuk    馥 4289
fuk    蝠 4870
fuk    蝮 5091
fuk    鰒 7044
fuk 6  復 0556
fuk 6  服 0585
fuk 6  伏 1306
fuk 6  茯 3282
fuk 6  袱 3314
fuk 6  复 3693
fuk 6  宓 5045
fuk 6  洑 5927
foo    歡 0822
foo    寬 0903
foo    髖 3897
foo    獾 5455
foo    覂 5665
foo    讙 6953
foo 2  款 0974
foo 2  盥 2856
foo 2  梡 7154
fug    風 0308
fug    封 0554
fug    豐 0856
fug    峰 1303
fug    鋒 1357
fug    瘋 2026
fug    蜂 2220
fug    楓 3171
fug    烽 3603
fug    葑 5361
fug    渢 5607
fug    丰 7156
fug    峯 7157
fug    灃 7158
fug 2  俸 4203
fug 2  唪 6600
fug 3  諷 2794
fug 4  縫 1420
fug 4  馮 1963
fug 4  逢 2203
fug 6  鳳 1654
fug 6  奉 1774
fut 3  闊 1543
fut 3  蛞 7303
Ｇ     Ｇ 7218
ga     家 0071
ga     加 0088
ga     嘉 2119
ga     咖 2682
ga     噶 3036
ga     嘎 3067
ga     枷 3525
ga     伽 3719
ga     迦 3838
ga     鎵 4195
ga     葭 4868
ga     痂 5157
ga     尕 5564
ga     袈 5663
ga     珈 6422
ga     跏 6963
ga     傢 7178
ga  2  賈 2337
ga  2  斝 4555
ga  2  嘏 6084
ga  2  㗎 7179
ga  3  價 0496
ga  3  假 0864
ga  3  架 0922
ga  3  駕 1987
ga  3  稼 2171
ga  3  嫁 2394
ga  3  价 7180
gi     階 0284
gi     街 1232
gi     皆 1623
gi     佳 1999
gi     楷 3214
gi     湝 3299
gi     秸 3849
gi     偕 4102
gi     喈 6601
gi     痎 6788
gi  2  解 0165
gi  3  界 0371
gi  3  介 0855
gi  3  屆 1459
gi  3  戒 2330
gi  3  尬 3547
gi  3  誡 3774
gi  3  芥 3874
gi  3  玠 5616
gi  3  廨 6654
gi  3  疥 6786
gi  3  蚧 7192
gak 3  革 0193
gak 3  格 0462
gak 3  隔 1185
gak 3  胳 2731
gak 3  咯 2911
gak 3  骼 3734
gak 3  圪 4643
gak 3  仡 4757
gak 3  鎘 4887
gak 3  塥 5129
gak 3  翮 5352
gak 3  膈 5482
gak 3  鬲 5700
gak 3  嗝 5871
gak 3  茖 6206
gak 6  曱 7185
gam    監 1151
gam    尷 3548
gam    緘 4789
gam 2  減 0558
gam 3  鑒 1450
gam 3  橄 3935
gam 3  淦 6142
gam 3  鑑 7181
gan    間 0130
gan    艱 1464
gan    奸 2169
gan    姦 5131
gan    菅 6471
gan 2  簡 0661
gan 2  堿 1212
gan 2  柬 1268
gan 2  揀 2895
gan 2  繭 2991
gan 2  鹼 3155
gan 2  筧 5166
gan 2  梘 7182
gan 3  澗 3039
gan 3  諫 3469
gag    耕 1198
gap 3  甲 0765
gap 3  夾 1379
gap 3  鉀 1708
gap 3  蛤 2917
gap 3  莢 3509
gap 3  胛 4460
gap 3  鋏 4683
gap 3  岬 4704
gap 3  郟 4744
gap 3  浹 4990
gap 3  梜 5059
gap 3  蛺 5660
gad 6  甴 7259
gao    交 0289
gao    膠 0949
gao    郊 2080
gao    蛟 3856
gao    茭 4563
gao    鮫 5110
gao    轇 5269
gao    鵁 6285
gao    跤 7184
gao 2  搞 0758
gao 2  攪 1974
gao 2  絞 2392
gao 2  狡 2783
gao 2  鉸 2888
gao 2  餃 3186
gao 2  佼 3583
gao 2  皎 4367
gao 3  較 0223
gao 3  教 0312
gao 3  酵 1695
gao 3  窖 2547
gao 3  斠 5314
gao 3  滘 7183
gai    雞 0947
gai    笄 6444
gai 2  偈 5199
gai 3  計 0227
gai 3  繼 0604
gai 3  炔 3145
gai 3  薊 3989
gai 3  蟿 4681
gai 3  髻 5108
gai 3  罽 6462
gum    金 0280
gum    今 0357
gum    甘 1323
gum    柑 3673
gum    泔 5758
gum    紟 6188
gum    疳 6787
gum    衿 6934
gum 2  感 0420
gum 2  敢 1041
gum 2  錦 1884
gum 2  啖 4965
gum 2  澉 5763
gum 2  噉 7210
gum 3  禁 1217
gum 3  贛 2848
gum 3  噤 4764
gum 3  紺 5345
gum 3  咁 7209
gum 6  撳 5313
gun    根 0233
gun    跟 0629
gun    斤 0812
gun    筋 1705
gun    巾 2249
gun    哏 6305
gun    觔 7211
gun 2  僅 0574
gun 2  緊 0578
gun 2  謹 2702
gun 2  瑾 3148
gun 2  覲 3729
gun 2  堇 5360
gun 2  殣 6379
gun 2  饉 6557
gun 2  槿 6716
gun 3  靳 4254
gun 3  艮 6877
gun 6  近 0400
gag    庚 2952
gag    羹 3701
gag    賡 4284
gag    粳 4532
gag 2  耿 2555
gag 2  梗 2728
gag 2  埂 3454
gag 2  亙 4162
gag 2  鯁 6567
gag 2  綆 6837
gag 2  骾 7287
gag 3  更 0306
gup    急 0801
gup    忣 5219
gup    芨 6884
gup 3  閤 2244
gup 3  鴿 3655
gup 3  頜 4576
gup 3  郃 5833
gat    吉 1580
gat    桔 2716
gat    詰 4877
gat    佶 5122
gat    紇 5639
gat    姞 5724
gat    訖 5817
gat 6  疙 3060
gau    篝 3791
gau    鳩 4322
gau    緱 4675
gau    泃 5601
gau    勼 6073
gau    鬮 6278
gau    樛 6374
gau 2  九 0239
gau 2  久 0766
gau 2  糾 1629
gau 2  狗 1739
gau 2  苟 2955
gau 2  韭 3896
gau 2  枸 4329
gau 2  玖 4992
gau 2  笱 5786
gau 2  岣 6636
gau 2  茍 7186
gau 3  究 0376
gau 3  夠 0614
gau 3  救 1208
gau 3  垢 3199
gau 3  捄 3379
gau 3  灸 4006
gau 3  廄 4031
gau 3  咎 4079
gau 3  疚 4364
gau 3  媾 4646
gau 3  搆 5312
gau 3  詬 5819
gau 3  彀 6103
gau 3  覯 6945
gau 3  雊 7187
gau 6  舊 0769
gau 6  柩 5228
ge  3  嘅 7188
gei    機 0092
gei    基 0211
gei    肌 1830
gei    饑 2235
gei    姬 2780
gei    嘰 3437
gei    飢 3516
gei    羈 3593
gei    箕 3606
gei    譏 3649
gei    畿 3767
gei    剞 4435
gei    禨 4729
gei    鞿 4750
gei    犄 4920
gei    丌 5118
gei    磯 5246
gei    璣 5621
gei    乩 6293
gei    觭 6497
gei    錤 6537
gei 2  幾 0238
gei 2  己 0302
gei 2  紀 0689
gei 2  几 3977
gei 2  杞 4114
gei 2  麂 4290
gei 2  掎 5137
gei 2  芑 6880
gei 3  記 0367
gei 3  既 0740
gei 3  寄 1458
gei 3  覬 4019
gei 3  洎 4717
gei 3  穊 5471
gei 3  徛 6660
gei 6  技 0407
gei 6  忌 2638
gei 6  伎 3167
gei 6  妓 3500
gei 6  惎 6350
gei 6  忮 6661
gei 6  芰 6882
geg 2  頸 2245
geg 3  鏡 1353
gui    居 0933
gui    裾 4737
gui    腒 5481
gui    椐 5751
gui    啹 7203
gui    崌 7204
gui 2  舉 0529
gui 2  矩 1521
gui 2  踽 3537
gui 2  齲 5117
gui 2  莒 5652
gui 2  偊 5866
gui 2  櫸 6135
gui 2  筥 6826
gui 2  蒟 6897
gui 3  據 0253
gui 3  句 0852
gui 3  鋸 2296
gui 3  瞿 2763
gui 3  踞 3610
gui 3  澽 5932
gui 3  倨 6060
gui 3  据 7205
gui 6  具 0323
gui 6  巨 1197
gui 6  懼 2493
gui 6  炬 3679
gui 6  遽 3839
gui 6  鉅 3994
gui 6  詎 4798
gui 6  醵 4948
gui 6  颶 5187
gui 6  粔 5344
gui 6  苣 5801
gui 6  犋 5937
gik    擊 0603
gik    激 0756
gik    棘 3114
gik    戟 4000
gik    亟 4897
gik    殛 6724
gik 6  極 0288
gim    兼 1498
gim    縑 5790
gim    鶼 7056
gim    蒹 7193
gim 2  檢 0638
gim 2  檐 3008
gim 2  撿 3961
gim 2  瞼 5070
gim 3  劍 2006
gim 6  儉 2596
gin    堅 0606
gin    肩 1618
gin    犍 4720
gin    鰹 5192
gin    鞬 6553
gin 2  謇 2845
gin 2  蹇 5828
gin 3  建 0168
gin 3  見 0226
gin 3  腱 4866
gin 6  件 0207
gin 6  鍵 1203
gin 6  健 1317
gig    經 0063
gig    京 0475
gig    驚 1138
gig    荊 2643
gig    兢 3518
gig    涇 3867
gig    惊 4398
gig    矜 4671
gig 2  境 0750
gig 2  景 0939
gig 2  竟 1031
gig 2  警 1173
gig 2  剄 3956
gig 2  憬 4169
gig 2  儆 4391
gig 2  璟 5774
gig 3  徑 0652
gig 3  敬 1476
gig 3  莖 1841
gig 3  脛 4127
gig 3  逕 4743
gig 3  獍 5454
gig 6  勁 1544
gig 6  競 1612
gig 6  痙 4145
gig 6  倞 6295
gip    喼 7194
gip 3  劫 2236
gip 3  澀 3059
gip 3  硤 5783
git 3  結 0164
git 3  潔 1447
git 3  拮 4206
git 3  絜 5004
git 3  頡 5279
git 3  擷 5743
git 3  袺 6490
git 3  襭 6940
git 6  杰 2271
git 6  傑 2470
git 6  桀 4404
git 6  榤 4916
giu    澆 1779
giu    驕 2497
giu    嬌 2905
giu    儌 6298
giu 2  繳 1962
giu 2  轎 2656
giu 2  矯 3053
giu 2  撟 4266
giu 2  皦 4276
giu 2  蹻 7195
giu 3  叫 0375
giu 3  噭 5873
giu 6  撬 3563
giu 6  嶠 6340
gor    歌 0825
gor    哥 0968
gor    旮 5580
gor    牁 6414
gor    菏 6473
gor 2  哿 4904
gor 2  舸 5799
gor 2  嗰 7199
gor 3  個 0015
gor 3  箇 7200
gek 3  腳 0874
geu    疆 1674
geu    姜 1968
geu    僵 2529
geu    彊 3932
geu    韁 4198
geu    羌 4218
geu    礓 7190
geu    薑 7191
geu    殭 7292
geu 6  糨 5638
goi    該 0494
goi    陔 5690
goi    賅 6011
goi    垓 6091
goi 2  改 0299
goi 3  蓋 1018
gok 3  各 0135
gok 3  角 0231
gok 3  覺 0612
gok 3  閣 2055
gok 3  擱 2670
gok 3  郝 2753
gok 3  鉻 2899
gok 3  硌 4490
gok 3  袼 5176
gok 3  桷 5913
gok 3  傕 6062
gok 3  埆 6316
gok 3  玨 7196
gon    干 1040
gon    杆 1278
gon    桿 1624
gon    乾 2252
gon    肝 2323
gon    竿 2610
gon    酐 3513
gon    矸 3604
gon    玕 6421
gon 2  趕 0997
gon 2  稈 2150
gon 2  赶 7198
gon 3  幹 0291
gon 3  旰 6121
gon 3  榦 7197
gog    江 0457
gog    剛 0829
gog    綱 1369
gog    缸 1508
gog    崗 1820
gog    扛 2510
gog    岡 2570
gog    肛 4734
gog    茳 5084
gog    豇 5096
gog    舡 5798
gog    堽 6615
gog    矼 6809
gog    罡 6850
gog 2  講 0508
gog 2  港 1305
gog 2  耩 5081
gog 2  顜 7271
gog 3  降 0577
gog 3  鋼 0657
gog 3  杠 2215
gog 3  槓 3831
gog 3  絳 4185
gog 3  洚 5760
got 3  割 1156
got 3  葛 2511
got 3  轕 7201
go     高 0077
go     膏 2479
go     糕 2559
go     睪 3383
go     皋 4182
go     篙 4183
go     羔 4676
go     櫜 6375
go  2  稿 1680
go  2  杲 3639
go  2  鎬 3817
go  2  縞 4791
go  2  槁 5060
go  2  暠 5582
go  3  告 0534
go  3  誥 4540
go  3  鋯 4622
go  3  郜 5835
gu     姑 1233
gu     孤 1799
gu     辜 2790
gu     呱 2795
gu     咕 2799
gu     菇 3140
gu     鈷 3303
gu     沽 4176
gu     蛄 5259
gu     菰 5655
gu     觚 6496
gu     罛 6851
gu     胍 6864
gu     酤 6982
gu     鴣 7202
gu  2  古 0651
gu  2  鼓 1008
gu  2  股 1319
gu  2  估 1749
gu  2  蠱 4498
gu  2  詁 4539
gu  2  牯 5154
gu  2  瞽 5468
gu  2  罟 5974
gu  3  固 0569
gu  3  故 0610
gu  3  顧 0955
gu  3  僱 2500
gu  3  痼 2855
gu  3  雇 2943
gu  3  錮 3364
gu  3  崮 5884
gui 6  攰 7206
gui 6  癐 7207
guk    谷 1183
guk    菊 2328
guk    鞠 3185
guk    轂 3776
guk    掬 4448
guk    穀 4530
guk    鵠 4816
guk    頊 4890
guk    鋦 5103
guk    嚳 5553
guk    梏 5748
guk    鞫 6272
guk    瀔 6745
guk    麴 7065
guk 6  局 0486
guk 6  跼 4020
guk 6  梮 5318
guk 6  焗 5326
guk 6  挶 5424
guk 6  侷 7208
goo    觀 0377
goo    官 0501
goo    冠 1678
goo    棺 3088
goo    倌 4077
goo    莞 4867
goo 2  管 0205
goo 2  館 1117
goo 2  斡 3807
goo 2  琯 5618
goo 2  朊 6125
goo 2  筦 6445
goo 3  貫 1158
goo 3  灌 1524
goo 3  罐 1860
goo 3  祼 2601
goo 3  瓘 3911
goo 3  涫 4331
goo 3  毌 6137
goo 3  鸛 7063
gug    工 0042
gug    公 0170
gug    供 0551
gug    功 0626
gug    攻 0831
gug    宮 1373
gug    弓 1848
gug    恭 2589
gug    躬 2909
gug    龔 3517
gug    蚣 4426
gug    芎 6879
gug 2  鞏 1574
gug 2  拱 2368
gug 2  珙 5327
gug 3  貢 1292
gug 3  嗊 5206
gug 6  共 0295
gwa    瓜 1590
gwa    騧 7028
gwa 2  寡 2686
gwa 3  掛 1267
gwa 3  褂 2893
gwa 3  卦 4104
gwa 3  挂 5576
gwa 3  咼 6078
gwa 3  詿 6226
gwa 3  啩 7212
gwa 3  罣 7214
gwi    乖 3316
gwi 2  拐 2605
gwi 2  柺 5585
gwi 2  夬 6617
gwi 2  蒯 6898
gwi 2  枴 7216
gwi 3  怪 1377
kak 3  摑 7305
kwa    關 0134
kwa    綸 1844
kwa    鰥 6570
kwa 3  慣 1239
kwa 3  摜 5138
kag 6  逛 3294
kad 3  刮 2088
kad 3  颳 3611
gwa    歸 1007
gwa    硅 1672
gwa    龜 2718
gwa    瑰 2902
gwa    閨 2967
gwa    圭 3378
gwa    皈 5244
gwa    鮭 5286
gwa    溈 5762
gwa    邽 6249
gwa    媯 6328
gwa    珪 6423
gwa    刲 6589
gwa    氿 6729
gwa 2  軌 1309
gwa 2  鬼 1428
gwa 2  詭 2820
gwa 2  姽 4237
gwa 2  簋 5636
gwa 2  佹 6058
gwa 2  晷 6122
gwa 2  宄 6332
gwa 3  貴 0847
gwa 3  季 0969
gwa 3  桂 1528
gwa 3  饋 2463
gwa 3  悸 3761
gwa 3  癸 4607
gwa 3  蹶 4741
gwa 3  鱖 4813
gwa 3  劌 6590
gwa 6  櫃 2545
gwa 6  跪 2740
gwa 6  柜 2934
gwa 6  匱 4637
gwa 6  簣 6831
gwa 6  蕢 6902
gwa 6  餽 7215
gwa 6  炅 7217
kwa    軍 0172
gwu    均 0567
kwa    君 1145
gwu    鈞 2758
gwu    筠 3914
gwu    錕 4949
gwu    鯤 5388
gwu    琨 5619
gwu    焜 5769
gwu    莙 5804
gwu    麇 5861
gwu    褌 6492
gwu 2  滾 1280
gwu 2  輥 1740
gwu 2  袞 4313
gwu 2  鯀 5191
gwu 3  棍 2342
gwu 6  郡 2295
gwg    轟 1877
gwg    肱 3594
gwg    觥 3876
gwg    訇 6500
gwt    骨 1149
gwt    橘 4142
gwt    汩 4482
gwt    鶻 4817
gwt    榾 6373
gwt 6  掘 1627
gwt 6  倔 3559
gwt 6  崛 4086
gwk    隙 1613
gwk    綌 4492
gwk    虢 5657
gwk    洫 5925
gwk    郤 6022
gwk    湨 6394
gwk    闃 7001
gwg    扃 6674
gwg 2  炯 3291
gwg 2  迥 3717
gwg 2  絅 5969
gwg 2  顈 7481
gwo    戈 2030
gwo    渦 2429
gwo    撾 2623
gwo 2  果 0189
gwo 2  裹 2684
gwo 2  錁 5842
gwo 2  猓 6159
gwo 2  蜾 6920
gwo 3  過 0046
kwo 3  國 0016
kwo 3  郭 1301
kok 3  廓 2571
kok 3  蟈 3947
kok 3  崞 5883
kok 3  幗 5887
kok 3  槨 6715
kok 3  漷 7298
kwo 3  国 7304
gwo    光 0261
gwo    胱 3946
gwo    桄 6371
gwo 2  廣 0365
gwo 2  獷 4855
gwo 2  誑 5503
gue    捐 2037
gue    娟 3319
gue    鵑 3597
gue    涓 4484
gue    蠲 5370
gue    狷 5614
gue    睊 6804
gue 2  卷 1090
gue 2  捲 2108
gue 3  眷 2863
gue 3  絹 3040
gue 3  婘 6624
gue 6  倦 2765
gyt 3  潏 5239
gyt 6  橛 5061
hx     Ｈ 7249
ha     哈 1030
ha     蝦 1568
ha     岈 6635
ha  4  霞 2020
ha  4  遐 4380
ha  4  瑕 4722
ha  6  下 0045
ha  6  夏 1082
ha  6  廈 2544
ha  6  暇 3587
hi     揩 3505
hi  4  孩 0813
hi  4  鞋 1788
hi  4  諧 1812
hi  4  骸 4027
hi  5  蟹 3239
hi  5  駭 3436
hi  5  獬 5772
hi  5  邂 5832
hi  5  澥 6149
hi  6  械 0824
hi  6  懈 3038
hi  6  嗐 4550
hi  6  瀣 6151
hi  6  叡 6303
hi  6  薤 6905
hak 3  客 0702
hak 3  嚇 2036
hak 3  喀 2275
hak 3  吓 7222
ham 2  闞 4575
ham 3  喊 1411
ham 4  函 1094
ham 4  咸 2626
ham 4  銜 2667
ham 4  涵 2768
ham 4  鹹 2778
ham 4  啣 4511
ham 5  餡 3270
ham 5  檻 3508
han    慳 6111
han 4  閒 1895
han 4  嫻 3670
han 4  癇 5463
han 4  嫺 7225
han 4  閑 7226
han 5  僩 7224
han 6  限 0674
hag    坑 1852
hag    吭 3188
hag    夯 3822
hag    阬 6548
hag 4  桁 4115
hap 3  頰 2951
hap 3  掐 3981
hap 3  呷 4760
hap 3  嗑 5406
hap 6  峽 1665
hap 6  狹 2141
hap 6  匣 3613
hap 6  狎 5065
hap 6  篋 5342
hao    敲 2056
hao    烤 2336
hao    吼 2873
hao    拷 3576
hao    哮 3739
hao    尻 6334
hao    磽 6811
hao    虓 6911
hao    鄗 6978
hao 2  考 0647
hao 2  巧 1512
hao 2  栲 5316
hao 3  孝 2188
hao 4  姣 5412
hao 4  洨 6387
hao 6  效 0454
hao 6  校 0743
hao 6  傚 7227
hai 2  喺 7223
hai 4  奚 3705
hai 4  兮 4136
hai 4  鼷 5116
hai 4  蹊 5180
hai 4  傒 5397
hai 4  徯 6345
hai 4  郋 6521
hai 6  系 0387
hai 6  係 0438
hai 6  繫 1020
hai 6  禊 6441
hac    克 0427
hac    黑 0600
hac    刻 0754
hac    赫 1503
hac    氪 4268
hac    剋 6300
hum    勘 1796
hum    堪 2357
hum    坎 2722
hum    憨 3829
hum    坩 4108
hum    戡 4655
hum    龕 5030
hum    蚶 5996
hum 2  砍 2019
hum 2  轗 5517
hum 2  欿 6722
hum 2  顑 7016
hum 3  嵌 2617
hum 3  瞰 4527
hum 3  墈 5722
hum 3  琀 6425
hum 3  崁 6639
hum 3  磡 7248
hum 4  含 0521
hum 4  焓 3844
hum 4  酣 4044
hum 4  邯 4619
hum 5  頷 4629
hum 6  陷 1338
hum 6  憾 2846
hum 6  撼 3480
hun 2  很 0173
hun 2  狠 1810
hun 2  墾 2248
hun 2  懇 2631
hun 2  齦 6290
hun 4  痕 2058
hun 6  恨 1633
hun 6  絎 6452
hag    哼 2414
hag    亨 3419
hag    鏗 4574
hag    硜 5072
hag    啈 5870
hag 2  肯 1283
hag 2  啃 3343
hag 4  行 0051
hag 4  衡 0944
hag 4  恒 1850
hag 4  珩 4414
hag 4  姮 6621
hag 4  恆 7219
hag 4  蘅 7221
hag 5  悻 4445
hag 6  幸 1410
hag 6  杏 2517
hag 6  倖 4293
hag 6  婞 4830
hag 6  荇 5487
hup    恰 1530
hup    洽 3298
hup 6  合 0108
hup 6  盒 2238
hup 6  磕 3204
hup 6  俠 3260
hup 6  瞌 4307
hup 6  闔 4626
hup 6  溘 4719
hup 6  盍 5781
hup 6  鉿 6258
hat    迄 2816
hat    乞 2872
hat 6  核 0761
hat 6  轄 2057
hat 6  瞎 2615
hat 6  劾 3296
hat 6  檄 3764
hat 6  搳 4326
hat 6  閡 4503
hat 6  黠 5533
hat 6  覡 5816
hat 6  齕 6580
hau 2  口 0274
hau 4  侯 2095
hau 4  喉 2247
hau 4  猴 2804
hau 4  瘊 5780
hau 4  篌 6447
hau 4  餱 7023
hau 5  厚 0943
hau 6  後 0055
hau 6  候 0449
hau 6  后 2180
hau 6  堠 5410
hau 6  逅 5518
hau 6  郈 6021
hau 6  鱟 7046
hei    希 0906
hei    烯 1270
hei    稀 1482
hei    熙 1622
hei    犧 1875
hei    欺 1915
hei    嘻 2719
hei    嗨 2787
hei    熹 3172
hei    嘿 3261
hei    羲 3391
hei    嬉 3502
hei    禧 3644
hei    曦 4172
hei    浠 4593
hei    睎 4784
hei    爔 4851
hei    欷 5439
hei    僖 5542
hei    榿 5591
hei    唏 5710
hei    譆 5821
hei    魌 6041
hei    醯 6250
hei    晞 6364
hei 2  起 0082
hei 2  喜 0873
