au     歐
bak    白
bau    包
cha    陳
che    張
che    鄭
chi    子
chi    蔣
chi    趙
cho    周
chu    朱
chu    鍾
ho     何
kam    金
ku     古
kwa    君
kwa    軍
kwa    關
kwo    國
kwo    郭
lam    林
lee    李
liu    廖
ma     馬
mak    麥
sze    史
sze    施
tak    德
tat    達
tsa    曾
tse    謝
tso    蔡
tsu    徐
tsu    崔
tsu    荃
tsz    慈
wan    王
wu     胡
