，	65156725
的	41025919
。	22655590
一	18461528
了	18421828
是	16739125
不	15713420
我	11232196
“	10551392
”	10433866
这	10139584
在	9773193
人	9476489
有	9279232
他	8498153
来	7861406
个	7514181
道	7493522
你	6587129
大	6305268
到	6053687
着	6043834
就	5951994
上	5941317
们	5798839
！	5484540
那	5304245
也	5257381
说	5187833
么	5067137
下	4846694
出	4835100
然	4743376
？	4725236
地	4713092
：	4710275
中	4338231
看	4144172
时	4070247
要	4019914
没	4004679
天	3981709
过	3933581
可	3920657
自	3878543
子	3804645
能	3601897
还	3551243
之	3518692
以	3468942
去	3438249
好	3421147
后	3420168
为	3404605
都	3396448
会	3389567
里	3368412
心	3356300
得	3348303
对	3320929
身	3201752
手	3098614
起	3097915
小	3063887
想	2987928
只	2886768
而	2840801
和	2819915
头	2677592
她	2565959
无	2531719
力	2519901
面	2505124
己	2502237
如	2490035
现	2408463
什	2407004
样	2336655
多	2334762
已	2300265
知	2275307
些	2243947
经	2215711
声	2204771
前	2203065
神	2186946
笑	2180426
事	2176353
开	2144007
点	2133463
方	1999241
眼	1990926
发	1989311
所	1964220
但	1949678
气	1937130
法	1916338
意	1909144
情	1897123
两	1880158
生	1876423
家	1874315
间	1870505
将	1835360
很	1824666
真	1774487
话	1767636
成	1754158
让	1748766
被	1743982
老	1740890
动	1735901
当	1713077
用	1679516
于	1669749
见	1667235
回	1643198
又	1627984
军	1588634
把	1588574
此	1568453
才	1566961
几	1553848
战	1524829
正	1519664
龙	1505907
明	1500434
从	1498875
却	1498539
长	1489808
十	1489448
三	1488857
女	1483462
光	1456382
再	1436263
向	1426133
实	1416242
最	1406002
行	1396403
高	1389689
本	1385779
打	1378219
定	1371010
进	1365134
魔	1345223
风	1341528
、	1332278
给	1326795
问	1301644
国	1292148
色	1289712
同	1279220
种	1271610
走	1271457
其	1265997
年	1256739
口	1255021
王	1236622
怎	1236519
边	1233635
次	1227447
全	1225230
白	1222080
吧	1215889
儿	1198027
感	1195888
果	1187728
听	1183305
啊	1167835
体	1146429
外	1144917
死	1144172
飞	1139040
分	1136423
主	1119955
觉	1118275
住	1107945
少	1098668
比	1086945
空	1074184
因	1063613
门	1060939
等	1044473
轻	1037571
直	1036330
第	1030940
候	1021945
脸	1021178
相	1015459
强	1003697
何	1001404
张	983790
快	980332
做	980078
