jyut  ,rank,ch
bing2 ,1591,丙
bing2 ,2242,炳
bing2 ,2592,秉
bing2 ,4481,摒
bing2 ,6248,邴
bing2 ,7086,昺
bing3 ,3228,併
bing3 ,3652,迸
bing6 ,1206,並
bing6 ,2444,并
bit1  ,0247,必
bit1  ,5457,珌
bit3  ,3671,憋
bit3  ,4577,鱉
bit3  ,7088,彆
bit6  ,0228,別
bit6  ,3942,癟
bit6  ,4430,蹩
biu1  ,0446,標
biu1  ,1247,彪
biu1  ,2223,錶
biu1  ,4304,瀌
biu1  ,4339,膘
biu1  ,4684,鏢
biu1  ,6266,鑣
biu1  ,6430,瘭
biu1  ,7089,飆
biu2  ,0132,表
biu2  ,4096,裱
biu2  ,4959,俵
biu2  ,5878,婊
bo1   ,0572,波
bo1   ,1196,玻
bo1   ,1284,坡
bo1   ,3531,菠
bo1   ,5549,啵
bo1   ,5567,嶓
bo2   ,3711,簸
bo3   ,1009,播
bo3   ,4344,鄱
bo3   ,7091,噃
bok3  ,1511,博
bok3  ,2034,駁
bok3  ,2362,縛
bok3  ,2705,搏
bok3  ,2936,膊
bok3  ,4608,礡
bok3  ,4695,亳
bok3  ,6263,鎛
bok3  ,6645,嶨
bok3  ,6941,襮
bok3  ,7090,壆
bok6  ,0892,薄
bok6  ,2900,雹
bok6  ,3304,鉑
bok6  ,3872,箔
bok6  ,6150,濼
bong1 ,0539,幫
bong1 ,1396,邦
bong1 ,3136,梆
bong2 ,2297,膀
bong2 ,2407,榜
bong2 ,2681,綁
bong2 ,3108,鎊
bong2 ,6116,搒
bong6 ,2807,傍
bong6 ,3072,磅
bou1  ,3342,哺
bou1  ,4017,褒
bou1  ,4473,餔
bou1  ,5018,逋
bou1  ,5152,煲
bou1  ,6694,晡
bou2  ,0264,保
bou2  ,0895,補
bou2  ,1163,寶
bou2  ,1994,堡
bou2  ,3855,葆
bou2  ,4134,鴇
bou2  ,5093,褓
bou2  ,5414,孬
bou2  ,6573,鵏
bou3  ,0334,報
bou3  ,0537,布
bou3  ,0836,佈
bou3  ,1354,埔
bou3  ,2714,怖
bou3  ,5021,鈽
bou6  ,0069,部
bou6  ,0362,步
bou6  ,1152,捕
bou6  ,1155,暴
bou6  ,3338,簿
bou6  ,7401,埗
bui1  ,1727,杯
bui1  ,7093,盃
bui3  ,0878,背
bui3  ,1465,貝
bui3  ,1656,輩
bui3  ,3315,鋇
bui3  ,3485,狽
bui3  ,3488,褙
bui3  ,4708,悖
bui3  ,5491,蓓
bui3  ,5749,梖
bui3  ,6019,邶
bui3  ,7092,揹
bui6  ,3460,焙
bui6  ,5043,孛
buk1  ,2237,卜
buk1  ,7404,卟
buk6  ,2230,僕
buk6  ,2852,曝
buk6  ,2983,瀑
buk6  ,5451,濮
buk6  ,5676,蹼
buk6  ,5815,襆
buk6  ,6527,醭
buk6  ,6998,鏷
buk6  ,7176,仆
bun1  ,0418,般
bun1  ,1743,搬
bun2  ,0099,本
bun2  ,1451,苯
bun2  ,5068,畚
bun3  ,0409,半
bun3  ,5692,靽
bun6  ,1589,伴
bun6  ,1684,叛
bun6  ,1902,拌
bun6  ,2446,胖
bun6  ,2916,畔
bun6  ,3712,絆
bung2 ,2310,捧
bung2 ,6772,玤
bung2 ,6774,琫
but3  ,3660,缽
but3  ,7096,砵
but6  ,1505,撥
but6  ,1734,勃
but6  ,2606,脖
but6  ,3215,渤
but6  ,3580,荸
but6  ,4159,餑
but6  ,4738,襏
but6  ,5445,浡
but6  ,7051,鵓
bx1   ,7097,Ｂ
caa1  ,0575,差
caa1  ,2225,叉
caa1  ,2997,岔
caa1  ,4243,杈
caa1  ,5442,汊
caa1  ,6028,釵
caa3  ,3240,詫
caa3  ,4973,奼
caa3  ,6489,衩
caa4  ,0453,查
caa4  ,0809,茶
caa4  ,4010,碴
caa4  ,5223,搽
caa4  ,5232,楂
caa4  ,5556,垞
caa4  ,6130,槎
caai1 ,2286,猜
caai1 ,2896,搓
caai1 ,6685,搋
caai2 ,2815,踩
caai2 ,4880,踹
caai3 ,6311,嘬
caai3 ,6792,瘥
caai3 ,6929,蠆
caai4 ,1339,柴
caai4 ,4467,豺
caai4 ,5982,茈
caai4 ,6065,儕
caak1 ,0710,測
caak1 ,5051,惻
caak3 ,0650,策
caak3 ,1876,冊
caak3 ,1944,拆
caak3 ,6446,筴
caak3 ,6611,坼
caak6 ,2172,賊
caam1 ,2724,摻
caam1 ,3551,攙
caam1 ,7030,驂
caam2 ,2000,慘
caam2 ,6671,憯
caam3 ,2567,杉
caam3 ,4911,懺
caam3 ,5669,讖
caam4 ,2401,蠶
caam4 ,3307,慚
caam4 ,4227,饞
caam4 ,4427,蚕
caam4 ,4567,讒
caam4 ,5185,鑱
caam4 ,6128,棖
caam4 ,6647,巉
caan1 ,2224,餐
caan2 ,0049,產
caan2 ,2459,鏟
caan2 ,4582,剷
caan2 ,6398,滻
caan3 ,2782,燦
caan3 ,4524,璨
caan3 ,5002,粲
caan3 ,5415,孱
caan3 ,6196,羼
caan4 ,1169,殘
caan4 ,7411,僝
caang1,2039,撐
caang1,5064,牚
caang1,5335,瞠
caang2,3058,橙
caang4,4960,傖
caap3 ,1228,插
caap3 ,6538,鍤
caat3 ,0747,察
caat3 ,1311,擦
caat3 ,1771,刷
caat3 ,5038,嚓
caat3 ,5127,唰
caat3 ,5615,獺
caau1 ,2276,抄
caau1 ,2522,鈔
caau1 ,4902,勦
caau2 ,1726,炒
caau2 ,2304,吵
caau2 ,5647,耖
caau4 ,2876,巢
cai1  ,1545,妻
cai1  ,2781,淒
cai1  ,2788,栖
cai1  ,3747,萋
cai1  ,4244,棲
