jyut  ,rank,ch
dang6 ,2608,瞪
dap1  ,3802,嗒
dap1  ,4733,耷
dat1  ,6465,腯
dat6  ,0698,突
dat6  ,1871,凸
dat6  ,6894,葖
dau1  ,2850,兜
dau2  ,2174,抖
dau2  ,2499,陡
dau2  ,3241,赳
dau2  ,6214,蚪
dau2  ,6702,枓
dau2  ,7132,斗
dau3  ,0335,鬥
dau6  ,1132,豆
dau6  ,2966,逗
dau6  ,3834,竇
dau6  ,4793,荳
dau6  ,5069,痘
dau6  ,5480,脰
dau6  ,7021,餖
de1   ,1467,爹
de1   ,5712,嗲
dei2  ,7134,哋
dei6  ,0020,地
dei6  ,5559,墬
dek6  ,2339,笛
dek6  ,5249,糴
deng1 ,1840,釘
deng1 ,6785,疔
deng3 ,7135,掟
deng6 ,1186,訂
deoi1 ,1102,堆
deoi3 ,0033,對
deoi3 ,2748,兌
deoi3 ,5958,碓
deoi3 ,7451,祋
deoi6 ,0258,隊
deoi6 ,5684,錞
deoi6 ,5688,鐓
deoi6 ,6352,憝
deoi6 ,6354,懟
deon1 ,1111,噸
deon1 ,2144,敦
deon1 ,3406,諄
deon1 ,5220,惇
deon6 ,1162,頓
deon6 ,2695,鈍
deon6 ,3796,遁
deon6 ,3842,囤
deon6 ,4519,沌
deon6 ,5159,盹
deun1 ,7148,驐
di1   ,7133,啲
dik1  ,0001,的
dik1  ,3615,嘀
dik1  ,3759,嫡
dik1  ,3787,樀
dik1  ,4600,玓
dik1  ,5256,菂
dik1  ,5675,蹢
dik1  ,6540,鏑
dik6  ,0701,敵
dik6  ,1539,滴
dik6  ,2007,滌
dik6  ,2373,迪
dik6  ,3082,狄
dik6  ,3851,翟
dik6  ,5501,覿
dik6  ,6207,荻
dim2  ,0096,點
dim3  ,1258,店
dim3  ,3883,惦
dim3  ,4923,玷
dim3  ,5099,踮
dim3  ,5847,阽
dim3  ,6090,坫
dim6  ,3504,掂
din1  ,2085,顛
din1  ,2843,滇
din1  ,3783,巔
din1  ,4929,癲
din2  ,1116,典
din2  ,2361,碘
din3  ,1955,墊
din6  ,0072,電
din6  ,1947,澱
din6  ,2042,殿
din6  ,2335,淀
din6  ,2445,甸
din6  ,2674,奠
din6  ,2968,佃
din6  ,4158,靛
din6  ,6530,鈿
din6  ,6796,癜
ding1 ,1099,丁
ding1 ,2324,盯
ding1 ,2889,叮
ding1 ,4745,酊
ding1 ,5031,仃
ding1 ,6163,玎
ding1 ,6198,耵
ding2 ,0693,頂
ding2 ,2348,鼎
ding3 ,1883,錠
ding3 ,5959,碇
ding6 ,0057,定
ding6 ,6081,啶
dip6  ,2053,疊
dip6  ,3174,蝶
dip6  ,3429,碟
dip6  ,3468,褶
dip6  ,3715,諜
dip6  ,4638,喋
dip6  ,4852,牒
dip6  ,5557,堞
dip6  ,6238,蹀
dip6  ,6684,揲
dip6  ,7043,鰈
dit3  ,2338,跌
dit6  ,1657,秩
dit6  ,2404,迭
dit6  ,5430,昳
dit6  ,5728,帙
dit6  ,6192,紩
dit6  ,6859,耋
dit6  ,7137,瓞
diu1  ,1761,雕
diu1  ,1951,丟
diu1  ,3203,碉
diu1  ,3656,凋
diu1  ,3737,刁
diu1  ,4231,叼
diu1  ,4500,貂
diu1  ,5111,鯛
diu1  ,7139,彫
diu1  ,7140,鵰
diu2  ,5881,屌
diu3  ,1558,吊
diu3  ,2770,釣
diu3  ,7138,弔
diu6  ,0256,調
diu6  ,0956,掉
diu6  ,5473,窕
do1   ,0056,多
do2   ,1756,朵
do2   ,2168,躲
do2   ,3386,垛
do2   ,3409,剁
do2   ,3948,跺
do2   ,5208,嚲
do2   ,6193,綞
do2   ,7037,鬌
do2   ,7142,哚
do6   ,3095,惰
do6   ,3230,墮
doek3 ,3360,琢
doek3 ,5320,涿
doek3 ,6006,諑
doek3 ,6689,斲
doeng1,4106,啄
doi6  ,0178,代
doi6  ,0760,待
doi6  ,1437,袋
doi6  ,4433,黛
doi6  ,4515,岱
doi6  ,5456,玳
doi6  ,6016,迨
doi6  ,7009,靆
doi6  ,7452,紿
doi6  ,7453,蝳
doi6  ,7454,酨
dok6  ,3363,踱
dok6  ,4072,鐸
dong1 ,0094,當
dong1 ,2637,噹
dong1 ,3571,襠
dong1 ,5046,宕
dong1 ,5946,璫
dong1 ,6833,簹
dong2 ,0185,黨
dong2 ,1957,擋
dong3 ,2031,檔
dong6 ,1290,蕩
dong6 ,4930,盪
dong6 ,6438,碭
dong6 ,7144,戙
dou1  ,0078,都
dou1  ,1065,刀
dou1  ,2711,忉
dou1  ,3000,氘
dou1  ,3584,叨
dou1  ,3840,魛
dou1  ,6544,闍
dou2  ,0696,倒
dou2  ,1321,島
dou2  ,2048,堵
dou2  ,2449,搗
dou2  ,2948,賭
dou2  ,3022,睹
dou3  ,0027,到
dou3  ,3781,妒
dou3  ,3794,蠹
dou3  ,4982,捯
dou6  ,0070,度
dou6  ,0157,道
dou6  ,0276,導
dou6  ,1274,稻
dou6  ,1462,渡
dou6  ,1514,杜
dou6  ,1823,盜
dou6  ,2421,悼
dou6  ,2777,蹈
dou6  ,2812,鍍
dou6  ,2963,燾
dou6  ,6847,纛
duk1  ,0916,督
duk1  ,3337,篤
duk6  ,0672,獨
duk6  ,0850,讀
duk6  ,1071,毒
duk6  ,3235,瀆
duk6  ,3952,黷
duk6  ,4411,牘
duk6  ,4412,犢
duk6  ,5530,髑
dung1 ,0275,東
dung1 ,1180,冬
dung1 ,3357,氡
dung1 ,3420,咚
dung1 ,4633,鼕
dung1 ,7459,柊
dung2 ,1455,懂
dung2 ,1937,董
dung2 ,4317,踵
dung3 ,1699,凍
dung6 ,0040,動
dung6 ,1350,洞
dung6 ,2701,棟
dung6 ,3243,峒
dung6 ,3263,恫
dung6 ,3933,慟
dung6 ,4898,侗
dung6 ,5209,垌
dung6 ,6865,胴
dx1   ,7149,Ｄ
dyun1 ,0658,端
dyun1 ,3465,耑
dyun2 ,0733,短
dyun3 ,1886,鍛
dyun3 ,4528,碫
dyun6 ,0369,段
dyun6 ,3226,緞
dyun6 ,4845,椴
dyut1 ,3756,嘟
dyut6 ,0999,奪
dyut6 ,5746,敓
ex1   ,7150,Ｅ
faa1  ,0314,花
faa3  ,0076,化
faai3 ,0452,快
faai3 ,0708,塊
faai3 ,3209,傀
faai3 ,3237,筷
faai3 ,5551,噲
faan1 ,0898,翻
faan1 ,1760,番
faan1 ,5306,幡
faan1 ,6194,繙
faan2 ,0142,反
faan2 ,1785,返
faan3 ,1106,泛
faan3 ,4604,畈
faan3 ,6384,氾
faan3 ,6629,嬔
faan4 ,1091,繁
faan4 ,1205,凡
faan4 ,1932,煩
faan4 ,2351,藩
faan4 ,2598,帆
faan4 ,3463,礬
faan4 ,3482,樊
faan4 ,3728,蕃
faan4 ,4156,釩
faan4 ,4220,蘩
faan4 ,4842,梵
faan4 ,5175,蟠
faan4 ,5944,璠
faan4 ,6155,燔
faan4 ,6322,墦
faan4 ,6967,蹯
faan5 ,2561,販
faan6 ,0601,犯
faan6 ,0670,範
faan6 ,0993,飯
faan6 ,2583,瓣
faan6 ,3662,范
faan6 ,7151,汎
faat3 ,0038,發
faat3 ,0059,法
faat3 ,3071,砝
faat3 ,5941,琺
faat3 ,7152,髮
fai1  ,0786,揮
fai1  ,1620,輝
fai1  ,1952,徽
fai1  ,3448,褘
fai1  ,3905,暉
fai1  ,3916,翬
fai1  ,5151,煇
fai1  ,5291,麾
fai1  ,6682,撝
fai1  ,7006,隳
fai2  ,4928,痱
fai3  ,0576,費
fai3  ,1219,廢
fai3  ,1798,沸
fai3  ,2133,肺
fai3  ,4214,砩
fai3  ,6542,鐨
fai3  ,6662,怫
fai3  ,6883,芾
fai6  ,3900,吠
fan1  ,0031,分
fan1  ,1192,紛
fan1  ,1225,婚
fan1  ,1899,酚
fan1  ,1975,昏
fan1  ,2202,芬
fan1  ,2322,勳
fan1  ,2359,氛
fan1  ,3216,熏
fan1  ,3574,吩
fan1  ,4003,棻
fan1  ,4042,窨
fan1  ,4131,雰
fan1  ,4373,葷
fan1  ,4598,燻
fan1  ,4885,醺
fan1  ,5173,薰
fan1  ,5250,緡
fan1  ,6545,閽
fan1  ,6665,惛
fan1  ,6770,獯
fan1  ,7160,勛
fan1  ,7163,昐
fan1  ,7164,枌
fan1  ,7167,砏
fan1  ,7169,羒
fan1  ,7170,翂
fan1  ,7173,衯
fan1  ,7174,鈖
fan2  ,0700,粉
fan3  ,0803,訓
fan3  ,2029,糞
fan3  ,6407,瀵
fan3  ,7166,瞓
fan4  ,2720,墳
fan4  ,2803,焚
fan4  ,3346,汾
fan4  ,5915,棼
fan4  ,6739,濆
fan4  ,7070,鼢
fan4  ,7162,妢
fan4  ,7171,蒶
fan4  ,7172,蕡
fan4  ,7175,魵
fan5  ,1142,奮
fan5  ,1611,憤
fan5  ,2772,忿
fan5  ,4257,僨
fan6  ,1070,份
fan6  ,7168,秎
fat1  ,1123,忽
fat1  ,2111,氟
fat1  ,2650,弗
fat1  ,2938,拂
fat1  ,3417,窟
fat1  ,4264,惚
fat1  ,4853,狒
fat1  ,4978,彿
fat1  ,5408,囫
fat1  ,5605,淴
fat1  ,5693,韍
fat1  ,5701,魆
fat1  ,5800,艴
fat1  ,5961,祓
fat1  ,6051,黻
fat1  ,6092,堀
fat1  ,6190,紱
fat1  ,6649,巿
fat1  ,6823,笏
fat1  ,6886,茀
fat6  ,1327,閥
fat6  ,1360,佛
fat6  ,1416,罰
fat6  ,1485,乏
fat6  ,1560,伐
fat6  ,3091,筏
fau2  ,0688,否
fau2  ,2265,剖
fau2  ,6460,缶
fau4  ,1177,浮
fau4  ,4718,涪
fau4  ,5350,罦
fau4  ,5356,芣
fau4  ,5366,蜉
fau4  ,5632,稃
fau4  ,6936,裒
fau6  ,3344,埠
fau6  ,3366,阜
fe1   ,2688,啡
fei1  ,0393,非
fei1  ,0633,飛
fei1  ,2146,菲
fei1  ,2173,妃
fei1  ,4283,蜚
fei1  ,4288,霏
fei1  ,4480,扉
fei1  ,4493,緋
fei1  ,5025,鯡
fei2  ,2352,匪
fei2  ,3450,誹
fei2  ,4126,翡
fei2  ,4402,斐
fei2  ,5917,榧
fei2  ,6109,悱
fei2  ,6368,朏
fei4  ,0817,肥
fei4  ,5604,淝
fei4  ,5649,腓
fei6  ,5201,剕
fo1   ,0343,科
fo1   ,4418,稞
fo1   ,4787,窠
fo1   ,5496,蝌
fo1   ,7031,髁
fo2   ,0482,火
fo2   ,1289,伙
fo2   ,1477,顆
fo2   ,3178,夥
fo3   ,0771,貨
fo3   ,0970,課
fo3   ,7155,騍
fok3  ,2014,霍
fok3  ,3201,攫
fok3  ,4687,钁
fok3  ,5365,藿
fok3  ,6177,矍
fong1 ,0053,方
fong1 ,1282,芳
fong1 ,1535,荒
fong1 ,1966,慌
fong1 ,2087,肪
fong1 ,2539,坊
fong1 ,2712,謊
fong1 ,4746,鈁
fong1 ,4772,枋
fong1 ,5648,肓
fong1 ,6520,邡
fong2 ,1063,訪
fong2 ,1218,紡
fong2 ,1434,仿
fong2 ,2266,晃
fong2 ,3387,恍
fong2 ,3561,幌
fong2 ,3864,彷
fong2 ,5124,倣
fong2 ,5171,舫
fong2 ,5592,榥
fong2 ,5902,昉
fong2 ,7032,髣
fong2 ,7153,怳
fong3 ,0242,放
fong3 ,0356,況
fong3 ,5640,絖
fong3 ,6957,貺
fong4 ,0528,防
fong4 ,0697,房
fong4 ,2071,妨
fong4 ,3543,魴
fu1   ,0613,夫
fu1   ,0937,呼
fu1   ,1870,枯
fu1   ,2466,膚
fu1   ,2495,俘
fu1   ,2773,敷
fu1   ,2851,孵
fu1   ,3560,孚
fu1   ,4112,挎
fu1   ,4225,郛
fu1   ,4479,幠
fu1   ,4634,伕
fu1   ,4946,鄜
fu1   ,5699,骷
fu1   ,5747,桴
fu1   ,6029,鈇
fu1   ,6069,刳
fu1   ,6145,滹
fu1   ,6509,趺
fu1   ,6510,跗
fu1   ,6889,莩
fu2   ,0432,府
fu2   ,0722,苦
fu2   ,1483,虎
fu2   ,1565,撫
fu2   ,2649,俯
fu2   ,2898,釜
fu2   ,3080,斧
fu2   ,3892,腑
fu2   ,3929,唬
fu2   ,4656,拊
fu2   ,4820,俛
fu2   ,4924,琥
fu2   ,4937,莆
fu2   ,6144,滏
fu2   ,6372,楛
fu2   ,6578,黼
fu2   ,6832,簠
fu2   ,7015,頫
fu2   ,7362,嘸
fu3   ,0621,富
fu3   ,0665,副
fu3   ,0998,庫
fu3   ,1773,賦
fu3   ,2179,褲
fu3   ,2825,咐
fu3   ,5738,戽
fu4   ,0841,乎
fu4   ,1022,符
fu4   ,1783,扶
fu4   ,3873,芙
fu4   ,4815,鳧
fu4   ,6887,苻
fu5   ,1171,婦
fu6   ,0602,負
fu6   ,0808,附
fu6   ,0820,父
fu6   ,1176,付
fu6   ,1237,腐
fu6   ,1702,輔
fu6   ,1928,赴
fu6   ,1941,傅
fu6   ,3350,鮒
fu6   ,4160,駙
fu6   ,5264,訃
fu6   ,5497,蝜
fu6   ,6181,祔
fu6   ,6507,賻
fui1  ,1077,灰
fui1  ,1241,恢
fui1  ,2960,魁
fui1  ,3318,奎
fui1  ,4070,詼
fui1  ,4352,悝
fui1  ,6912,虺
fui2  ,5924,洧
fui2  ,7002,闠
fui2  ,7040,鮪
fui3  ,2572,悔
fui3  ,3602,晦
fui3  ,4151,誨
fui3  ,4439,喙
fuk1  ,0843,複
fuk1  ,0880,福
fuk1  ,1029,幅
fuk1  ,1793,覆
fuk1  ,1943,腹
fuk1  ,2210,輻
fuk1  ,4289,馥
fuk1  ,4870,蝠
fuk1  ,5091,蝮
fuk1  ,7044,鰒
fuk6  ,0556,復
fuk6  ,0585,服
fuk6  ,1306,伏
fuk6  ,3282,茯
fuk6  ,3314,袱
fuk6  ,3693,复
fuk6  ,5045,宓
fuk6  ,5927,洑
fun1  ,0822,歡
fun1  ,0903,寬
fun1  ,3897,髖
fun1  ,5455,獾
fun1  ,5665,覂
fun1  ,6953,讙
fun2  ,0974,款
fun2  ,2856,盥
fun2  ,7154,梡
fung1 ,0308,風
fung1 ,0554,封
fung1 ,0856,豐
fung1 ,1303,峰
fung1 ,1357,鋒
fung1 ,2026,瘋
fung1 ,2220,蜂
fung1 ,3171,楓
fung1 ,3603,烽
fung1 ,5361,葑
fung1 ,5607,渢
fung1 ,7156,丰
fung1 ,7157,峯
fung1 ,7158,灃
fung2 ,4203,俸
fung2 ,6600,唪
fung3 ,2794,諷
fung4 ,1420,縫
fung4 ,1963,馮
fung4 ,2203,逢
fung6 ,1654,鳳
fung6 ,1774,奉
fut3  ,1543,闊
fut3  ,7303,蛞
fx1   ,7177,Ｆ
gaa1  ,0071,家
gaa1  ,0088,加
gaa1  ,2119,嘉
gaa1  ,2682,咖
gaa1  ,3036,噶
gaa1  ,3067,嘎
gaa1  ,3525,枷
gaa1  ,3719,伽
gaa1  ,3838,迦
gaa1  ,4195,鎵
gaa1  ,4868,葭
gaa1  ,5157,痂
gaa1  ,5564,尕
gaa1  ,5663,袈
gaa1  ,6422,珈
gaa1  ,6963,跏
gaa1  ,7178,傢
gaa2  ,2337,賈
gaa2  ,4555,斝
gaa2  ,6084,嘏
gaa2  ,7179,㗎
gaa3  ,0496,價
gaa3  ,0864,假
gaa3  ,0922,架
gaa3  ,1987,駕
gaa3  ,2171,稼
gaa3  ,2394,嫁
gaa3  ,7180,价
gaai1 ,0284,階
gaai1 ,1232,街
gaai1 ,1623,皆
gaai1 ,1999,佳
gaai1 ,3214,楷
gaai1 ,3299,湝
gaai1 ,3849,秸
gaai1 ,4102,偕
gaai1 ,6601,喈
gaai1 ,6788,痎
gaai2 ,0165,解
gaai3 ,0371,界
gaai3 ,0855,介
gaai3 ,1459,屆
gaai3 ,2330,戒
gaai3 ,3547,尬
gaai3 ,3774,誡
gaai3 ,3874,芥
gaai3 ,5616,玠
gaai3 ,6654,廨
gaai3 ,6786,疥
gaai3 ,7192,蚧
gaak3 ,0193,革
gaak3 ,0462,格
gaak3 ,1185,隔
gaak3 ,2731,胳
gaak3 ,2911,咯
gaak3 ,3734,骼
gaak3 ,4643,圪
gaak3 ,4757,仡
gaak3 ,4887,鎘
gaak3 ,5129,塥
gaak3 ,5352,翮
gaak3 ,5482,膈
gaak3 ,5700,鬲
gaak3 ,5871,嗝
gaak3 ,6059,佫
gaak3 ,6206,茖
gaak6 ,7185,曱
gaam1 ,1151,監
gaam1 ,3548,尷
gaam1 ,4789,緘
gaam2 ,0558,減
gaam3 ,1450,鑒
gaam3 ,3935,橄
gaam3 ,6142,淦
gaam3 ,7181,鑑
gaan1 ,0130,間
gaan1 ,1464,艱
gaan1 ,2169,奸
gaan1 ,5131,姦
gaan1 ,6471,菅
gaan2 ,0661,簡
gaan2 ,1212,堿
gaan2 ,1268,柬
gaan2 ,2895,揀
gaan2 ,2991,繭
gaan2 ,3155,鹼
gaan2 ,5166,筧
gaan2 ,7182,梘
gaan3 ,3039,澗
gaan3 ,3469,諫
gaang1,1198,耕
gaap3 ,0765,甲
gaap3 ,1379,夾
gaap3 ,1708,鉀
gaap3 ,2917,蛤
gaap3 ,3509,莢
gaap3 ,4460,胛
gaap3 ,4683,鋏
gaap3 ,4704,岬
gaap3 ,4744,郟
gaap3 ,4990,浹
gaap3 ,5059,梜
gaap3 ,5660,蛺
gaat6 ,7259,甴
gaau1 ,0289,交
gaau1 ,0949,膠
gaau1 ,2080,郊
gaau1 ,3856,蛟
gaau1 ,4563,茭
gaau1 ,5110,鮫
gaau1 ,5269,轇
gaau1 ,6285,鵁
gaau1 ,7184,跤
gaau2 ,0758,搞
gaau2 ,1974,攪
gaau2 ,2392,絞
gaau2 ,2783,狡
gaau2 ,2888,鉸
gaau2 ,3186,餃
gaau2 ,3583,佼
gaau2 ,4367,皎
gaau3 ,0223,較
gaau3 ,0312,教
gaau3 ,1695,酵
gaau3 ,2547,窖
gaau3 ,5314,斠
gaau3 ,7183,滘
gai1  ,0947,雞
gai1  ,6444,笄
gai2  ,5199,偈
gai3  ,0227,計
gai3  ,0604,繼
gai3  ,3145,炔
gai3  ,3989,薊
gai3  ,4681,蟿
gai3  ,5108,髻
gai3  ,6462,罽
gam1  ,0280,金
gam1  ,0357,今
gam1  ,1323,甘
gam1  ,3673,柑
gam1  ,5758,泔
gam1  ,6188,紟
gam1  ,6787,疳
gam1  ,6934,衿
gam2  ,0420,感
gam2  ,1041,敢
gam2  ,1884,錦
gam2  ,4965,啖
gam2  ,5763,澉
gam2  ,7210,噉
gam3  ,1217,禁
gam3  ,2848,贛
gam3  ,4764,噤
gam3  ,5345,紺
gam3  ,7209,咁
gam6  ,5313,撳
gan1  ,0233,根
gan1  ,0629,跟
gan1  ,0812,斤
gan1  ,1705,筋
gan1  ,2249,巾
gan1  ,6305,哏
gan1  ,7211,觔
gan2  ,0574,僅
gan2  ,0578,緊
gan2  ,2702,謹
gan2  ,3148,瑾
gan2  ,3729,覲
gan2  ,5360,堇
gan2  ,6379,殣
gan2  ,6557,饉
gan2  ,6716,槿
gan3  ,4254,靳
gan3  ,6877,艮
gan6  ,0400,近
gang1 ,2952,庚
gang1 ,3701,羹
gang1 ,4284,賡
gang1 ,4532,粳
gang2 ,2555,耿
gang2 ,2728,梗
gang2 ,3454,埂
gang2 ,4162,亙
gang2 ,6567,鯁
gang2 ,6837,綆
gang2 ,7287,骾
gang3 ,0306,更
gap1  ,0801,急
gap1  ,5219,忣
gap1  ,6884,芨
gap3  ,2244,閤
gap3  ,3655,鴿
gap3  ,4576,頜
gap3  ,5833,郃
gat1  ,1580,吉
gat1  ,2716,桔
gat1  ,4877,詰
gat1  ,5122,佶
gat1  ,5639,紇
gat1  ,5724,姞
gat1  ,5817,訖
gat6  ,3060,疙
gau1  ,3791,篝
gau1  ,4322,鳩
gau1  ,4675,緱
gau1  ,5601,泃
gau1  ,6073,勼
gau1  ,6278,鬮
gau1  ,6374,樛
gau2  ,0239,九
gau2  ,0766,久
gau2  ,1629,糾
gau2  ,1739,狗
gau2  ,2955,苟
gau2  ,3896,韭
gau2  ,4329,枸
gau2  ,4992,玖
gau2  ,5786,笱
gau2  ,6636,岣
gau2  ,7186,茍
gau3  ,0376,究
gau3  ,0614,夠
gau3  ,1208,救
gau3  ,3199,垢
gau3  ,3379,捄
gau3  ,4006,灸
gau3  ,4031,廄
gau3  ,4079,咎
gau3  ,4364,疚
gau3  ,4646,媾
gau3  ,5312,搆
gau3  ,5819,詬
gau3  ,6103,彀
gau3  ,6945,覯
gau3  ,7187,雊
gau6  ,0769,舊
gau6  ,5228,柩
ge3   ,7188,嘅
gei1  ,0092,機
gei1  ,0211,基
gei1  ,1830,肌
gei1  ,2235,饑
gei1  ,2780,姬
gei1  ,3437,嘰
gei1  ,3516,飢
gei1  ,3593,羈
gei1  ,3606,箕
gei1  ,3649,譏
gei1  ,3767,畿
gei1  ,4435,剞
gei1  ,4729,禨
gei1  ,4750,鞿
gei1  ,4920,犄
gei1  ,5118,丌
gei1  ,5246,磯
gei1  ,5621,璣
gei1  ,6293,乩
gei1  ,6497,觭
gei1  ,6537,錤
gei2  ,0238,幾
gei2  ,0302,己
gei2  ,0689,紀
gei2  ,3977,几
gei2  ,4114,杞
gei2  ,4290,麂
gei2  ,5137,掎
gei2  ,6880,芑
gei3  ,0367,記
gei3  ,0740,既
gei3  ,1458,寄
gei3  ,4019,覬
gei3  ,4717,洎
gei3  ,5471,穊
gei3  ,6660,徛
gei3  ,7363,旡
gei6  ,0407,技
gei6  ,2638,忌
gei6  ,3167,伎
gei6  ,3500,妓
gei6  ,6350,惎
gei6  ,6661,忮
gei6  ,6882,芰
geng2 ,2245,頸
geng3 ,1353,鏡
geoi1 ,0933,居
geoi1 ,4737,裾
geoi1 ,5481,腒
geoi1 ,5751,椐
geoi1 ,7203,啹
geoi1 ,7204,崌
geoi2 ,0529,舉
geoi2 ,1521,矩
geoi2 ,3537,踽
geoi2 ,5117,齲
geoi2 ,5652,莒
geoi2 ,5866,偊
geoi2 ,6135,櫸
geoi2 ,6826,筥
geoi2 ,6897,蒟
geoi3 ,0253,據
geoi3 ,0852,句
geoi3 ,2296,鋸
geoi3 ,2763,瞿
geoi3 ,3610,踞
geoi3 ,5932,澽
geoi3 ,6060,倨
geoi3 ,7205,据
geoi6 ,0323,具
geoi6 ,1197,巨
geoi6 ,2493,懼
geoi6 ,3679,炬
geoi6 ,3839,遽
geoi6 ,3994,鉅
geoi6 ,4798,詎
geoi6 ,4948,醵
geoi6 ,5187,颶
geoi6 ,5344,粔
geoi6 ,5801,苣
geoi6 ,5937,犋
gik1  ,0603,擊
gik1  ,0756,激
gik1  ,3114,棘
gik1  ,4000,戟
gik1  ,4897,亟
gik1  ,6724,殛
gik6  ,0288,極
gim1  ,1498,兼
gim1  ,5790,縑
gim1  ,7056,鶼
gim1  ,7193,蒹
gim2  ,0638,檢
gim2  ,3008,檐
gim2  ,3961,撿
gim2  ,5070,瞼
gim3  ,2006,劍
gim6  ,2596,儉
gin1  ,0606,堅
gin1  ,1618,肩
gin1  ,4720,犍
gin1  ,5192,鰹
gin1  ,6553,鞬
gin2  ,2845,謇
gin2  ,5828,蹇
gin3  ,0168,建
gin3  ,0226,見
gin3  ,4866,腱
gin6  ,0207,件
gin6  ,1203,鍵
gin6  ,1317,健
ging1 ,0063,經
ging1 ,0475,京
ging1 ,1138,驚
ging1 ,2643,荊
ging1 ,3518,兢
ging1 ,3867,涇
ging1 ,4398,惊
ging1 ,4671,矜
ging2 ,0750,境
ging2 ,0939,景
ging2 ,1031,竟
ging2 ,1173,警
ging2 ,3956,剄
ging2 ,4169,憬
ging2 ,4391,儆
ging2 ,5774,璟
ging3 ,0652,徑
ging3 ,1476,敬
ging3 ,1841,莖
ging3 ,4127,脛
ging3 ,4743,逕
ging3 ,5454,獍
ging6 ,1544,勁
ging6 ,1612,競
ging6 ,4145,痙
ging6 ,6295,倞
gip1  ,7194,喼
gip3  ,2236,劫
gip3  ,3059,澀
gip3  ,5783,硤
git3  ,0164,結
git3  ,1447,潔
git3  ,4206,拮
git3  ,5004,絜
git3  ,5279,頡
git3  ,5743,擷
git3  ,6490,袺
git3  ,6940,襭
git6  ,2271,杰
git6  ,2470,傑
git6  ,4404,桀
git6  ,4916,榤
giu1  ,1779,澆
giu1  ,2497,驕
giu1  ,2905,嬌
giu1  ,6298,儌
giu2  ,1962,繳
giu2  ,2656,轎
giu2  ,3053,矯
giu2  ,4266,撟
giu2  ,4276,皦
giu2  ,7195,蹻
giu3  ,0375,叫
giu3  ,5873,噭
giu6  ,3563,撬
giu6  ,6340,嶠
go1   ,0825,歌
go1   ,0968,哥
go1   ,5580,旮
go1   ,6414,牁
go1   ,6473,菏
go2   ,4904,哿
go2   ,5799,舸
go2   ,7199,嗰
go3   ,0015,個
go3   ,7200,箇
goek3 ,0874,腳
goeng1,1674,疆
goeng1,1968,姜
goeng1,2529,僵
goeng1,3932,彊
goeng1,4198,韁
goeng1,4218,羌
goeng1,7190,礓
goeng1,7191,薑
goeng1,7292,殭
goeng6,5638,糨
goi1  ,0494,該
goi1  ,5690,陔
goi1  ,6011,賅
goi1  ,6091,垓
goi2  ,0299,改
goi3  ,1018,蓋
gok3  ,0135,各
gok3  ,0231,角
gok3  ,0612,覺
gok3  ,2055,閣
gok3  ,2670,擱
gok3  ,2753,郝
gok3  ,2899,鉻
gok3  ,4490,硌
gok3  ,5176,袼
gok3  ,5913,桷
gok3  ,6062,傕
gok3  ,6316,埆
gok3  ,7196,玨
gon1  ,1040,干
gon1  ,1278,杆
gon1  ,1624,桿
gon1  ,2252,乾
gon1  ,2323,肝
gon1  ,2610,竿
gon1  ,3513,酐
gon1  ,3604,矸
gon1  ,6421,玕
gon2  ,0997,趕
gon2  ,2150,稈
gon2  ,7198,赶
gon3  ,0291,幹
gon3  ,6121,旰
gon3  ,7197,榦
gong1 ,0457,江
gong1 ,0829,剛
gong1 ,1369,綱
gong1 ,1508,缸
gong1 ,1820,崗
gong1 ,2510,扛
gong1 ,2570,岡
gong1 ,4734,肛
gong1 ,5084,茳
gong1 ,5096,豇
gong1 ,5798,舡
gong1 ,6615,堽
gong1 ,6809,矼
gong1 ,6850,罡
gong2 ,0508,講
gong2 ,1305,港
gong2 ,5081,耩
gong2 ,7271,顜
gong3 ,0577,降
gong3 ,0657,鋼
gong3 ,2215,杠
gong3 ,3831,槓
gong3 ,4185,絳
gong3 ,5760,洚
got3  ,1156,割
got3  ,2511,葛
got3  ,7201,轕
gou1  ,0077,高
gou1  ,2479,膏
gou1  ,2559,糕
gou1  ,3383,睪
gou1  ,4182,皋
gou1  ,4183,篙
gou1  ,4676,羔
gou1  ,6375,櫜
gou2  ,1680,稿
gou2  ,3639,杲
gou2  ,3817,鎬
gou2  ,4791,縞
gou2  ,5060,槁
gou2  ,5582,暠
gou3  ,0534,告
gou3  ,4540,誥
gou3  ,4622,鋯
gou3  ,5835,郜
gu1   ,1233,姑
gu1   ,1799,孤
gu1   ,2790,辜
gu1   ,2795,呱
gu1   ,2799,咕
gu1   ,3140,菇
gu1   ,3303,鈷
gu1   ,4176,沽
gu1   ,5259,蛄
gu1   ,5655,菰
gu1   ,6496,觚
gu1   ,6851,罛
gu1   ,6864,胍
gu1   ,6982,酤
gu1   ,7202,鴣
gu2   ,0651,古
gu2   ,1008,鼓
gu2   ,1319,股
gu2   ,1749,估
gu2   ,4498,蠱
gu2   ,4539,詁
gu2   ,5154,牯
gu2   ,5468,瞽
gu2   ,5974,罟
gu3   ,0569,固
gu3   ,0610,故
gu3   ,0955,顧
gu3   ,2500,僱
gu3   ,2855,痼
gu3   ,2943,雇
gu3   ,3364,錮
gu3   ,5884,崮
gui6  ,7206,攰
