ch,rank,yyutping
蝶,3174,dip,6
碟,3429,dip,6
褶,3468,dip,6
諜,3715,dip,6
喋,4638,dip,6
牒,4852,dip,6
堞,5557,dip,6
蹀,6238,dip,6
揲,6684,dip,6
鰈,7043,dip,6
跌,2338,dit,3
秩,1657,dit,6
迭,2404,dit,6
昳,5430,dit,6
帙,5728,dit,6
紩,6192,dit,6
耋,6859,dit,6
瓞,7137,dit,6
雕,1761,diu,1
丟,1951,diu,1
碉,3203,diu,1
凋,3656,diu,1
刁,3737,diu,1
叼,4231,diu,1
貂,4500,diu,1
鯛,5111,diu,1
彫,7139,diu,1
鵰,7140,diu,1
屌,5881,diu,2
吊,1558,diu,3
釣,2770,diu,3
弔,7138,diu,3
調,0256,diu,6
掉,0956,diu,6
窕,5473,diu,6
多,0056,do,1
朵,1756,do,2
躲,2168,do,2
垛,3386,do,2
剁,3409,do,2
跺,3948,do,2
嚲,5208,do,2
鬌,7037,do,2
哚,7142,do,2
惰,3095,do,6
墮,3230,do,6
琢,3360,doek,3
涿,5320,doek,3
諑,6006,doek,3
斲,6689,doek,3
啄,4106,doeng,1
代,0178,doi,6
待,0760,doi,6
袋,1437,doi,6
黛,4433,doi,6
岱,4515,doi,6
玳,5456,doi,6
迨,6016,doi,6
靆,7009,doi,6
紿,7452,doi,6
蝳,7453,doi,6
酨,7454,doi,6
踱,3363,dok,6
鐸,4072,dok,6
當,0094,dong,1
噹,2637,dong,1
襠,3571,dong,1
宕,5046,dong,1
璫,5946,dong,1
簹,6833,dong,1
黨,0185,dong,2
擋,1957,dong,2
檔,2031,dong,3
蕩,1290,dong,6
盪,4930,dong,6
碭,6438,dong,6
戙,7144,dong,6
都,0078,dou,1
刀,1065,dou,1
忉,2711,dou,1
氘,3000,dou,1
叨,3584,dou,1
魛,3840,dou,1
闍,6544,dou,1
倒,0696,dou,2
島,1321,dou,2
堵,2048,dou,2
搗,2449,dou,2
賭,2948,dou,2
睹,3022,dou,2
到,0027,dou,3
妒,3781,dou,3
蠹,3794,dou,3
捯,4982,dou,3
度,0070,dou,6
道,0157,dou,6
導,0276,dou,6
稻,1274,dou,6
渡,1462,dou,6
杜,1514,dou,6
盜,1823,dou,6
悼,2421,dou,6
蹈,2777,dou,6
鍍,2812,dou,6
燾,2963,dou,6
纛,6847,dou,6
督,0916,duk,1
篤,3337,duk,1
獨,0672,duk,6
讀,0850,duk,6
毒,1071,duk,6
瀆,3235,duk,6
黷,3952,duk,6
牘,4411,duk,6
犢,4412,duk,6
髑,5530,duk,6
東,0275,dung,1
冬,1180,dung,1
氡,3357,dung,1
咚,3420,dung,1
鼕,4633,dung,1
柊,7459,dung,1
懂,1455,dung,2
董,1937,dung,2
踵,4317,dung,2
凍,1699,dung,3
動,0040,dung,6
洞,1350,dung,6
棟,2701,dung,6
峒,3243,dung,6
恫,3263,dung,6
慟,3933,dung,6
侗,4898,dung,6
垌,5209,dung,6
胴,6865,dung,6
端,0658,dyun,1
耑,3465,dyun,1
短,0733,dyun,2
鍛,1886,dyun,3
碫,4528,dyun,3
段,0369,dyun,6
緞,3226,dyun,6
椴,4845,dyun,6
嘟,3756,dyut,1
奪,0999,dyut,6
敓,5746,dyut,6
Ｅ,7150,Ｅ
Ｆ,7177,Ｆ
花,0314,faa,1
化,0076,faa,3
快,0452,faai,3
塊,0708,faai,3
傀,3209,faai,3
筷,3237,faai,3
噲,5551,faai,3
翻,0898,faan,1
番,1760,faan,1
幡,5306,faan,1
繙,6194,faan,1
反,0142,faan,2
返,1785,faan,2
泛,1106,faan,3
畈,4604,faan,3
氾,6384,faan,3
繁,1091,faan,4
凡,1205,faan,4
煩,1932,faan,4
藩,2351,faan,4
帆,2598,faan,4
礬,3463,faan,4
樊,3482,faan,4
蕃,3728,faan,4
釩,4156,faan,4
蘩,4220,faan,4
梵,4842,faan,4
蟠,5175,faan,4
璠,5944,faan,4
燔,6155,faan,4
墦,6322,faan,4
蹯,6967,faan,4
販,2561,faan,5
犯,0601,faan,6
範,0670,faan,6
飯,0993,faan,6
瓣,2583,faan,6
范,3662,faan,6
汎,7151,faan,6
發,0038,faat,3
法,0059,faat,3
砝,3071,faat,3
琺,5941,faat,3
髮,7152,faat,3
揮,0786,fai,1
輝,1620,fai,1
徽,1952,fai,1
褘,3448,fai,1
暉,3905,fai,1
翬,3916,fai,1
煇,5151,fai,1
麾,5291,fai,1
撝,6682,fai,1
隳,7006,fai,1
痱,4928,fai,2
費,0576,fai,3
廢,1219,fai,3
沸,1798,fai,3
肺,2133,fai,3
鐨,6542,fai,3
怫,6662,fai,3
芾,6883,fai,3
吠,3900,fai,6
分,0031,fan,1
紛,1192,fan,1
婚,1225,fan,1
酚,1899,fan,1
昏,1975,fan,1
芬,2202,fan,1
勳,2322,fan,1
氛,2359,fan,1
熏,3216,fan,1
吩,3574,fan,1
棻,4003,fan,1
窨,4042,fan,1
雰,4131,fan,1
葷,4373,fan,1
燻,4598,fan,1
醺,4885,fan,1
薰,5173,fan,1
緡,5250,fan,1
閽,6545,fan,1
惛,6665,fan,1
獯,6770,fan,1
勛,7160,fan,1
枌,7164,fan,1
砏,7167,fan,1
羒,7169,fan,1
翂,7170,fan,1
粉,0700,fan,2
訓,0803,fan,3
糞,2029,fan,3
瀵,6407,fan,3
瞓,7166,fan,3
墳,2720,fan,4
焚,2803,fan,4
汾,3346,fan,4
棼,5915,fan,4
濆,6739,fan,4
鼢,7070,fan,4
妢,7162,fan,4
蒶,7171,fan,4
蕡,7172,fan,4
魵,7175,fan,4
奮,1142,fan,5
憤,1611,fan,5
忿,2772,fan,5
僨,4257,fan,5
份,1070,fan,6
忽,1123,fat,1
氟,2111,fat,1
弗,2650,fat,1
拂,2938,fat,1
窟,3417,fat,1
惚,4264,fat,1
狒,4853,fat,1
彿,4978,fat,1
囫,5408,fat,1
淴,5605,fat,1
韍,5693,fat,1
魆,5701,fat,1
艴,5800,fat,1
祓,5961,fat,1
黻,6051,fat,1
堀,6092,fat,1
紱,6190,fat,1
巿,6649,fat,1
笏,6823,fat,1
茀,6886,fat,1
閥,1327,fat,6
佛,1360,fat,6
罰,1416,fat,6
乏,1485,fat,6
伐,1560,fat,6
筏,3091,fat,6
否,0688,fau,2
剖,2265,fau,2
缶,6460,fau,2
浮,1177,fau,4
涪,4718,fau,4
罦,5350,fau,4
芣,5356,fau,4
蜉,5366,fau,4
稃,5632,fau,4
裒,6936,fau,4
埠,3344,fau,6
阜,3366,fau,6
啡,2688,fe,1
非,0393,fei,1
飛,0633,fei,1
菲,2146,fei,1
妃,2173,fei,1
蜚,4283,fei,1
霏,4288,fei,1
扉,4480,fei,1
緋,4493,fei,1
鯡,5025,fei,1
匪,2352,fei,2
誹,3450,fei,2
翡,4126,fei,2
斐,4402,fei,2
榧,5917,fei,2
悱,6109,fei,2
朏,6368,fei,2
肥,0817,fei,4
淝,5604,fei,4
腓,5649,fei,4
剕,5201,fei,6
科,0343,fo,1
稞,4418,fo,1
窠,4787,fo,1
蝌,5496,fo,1
髁,7031,fo,1
火,0482,fo,2
伙,1289,fo,2
顆,1477,fo,2
夥,3178,fo,2
貨,0771,fo,3
課,0970,fo,3
騍,7155,fo,3
霍,2014,fok,3
攫,3201,fok,3
钁,4687,fok,3
藿,5365,fok,3
矍,6177,fok,3
方,0053,fong,1
芳,1282,fong,1
荒,1535,fong,1
慌,1966,fong,1
肪,2087,fong,1
坊,2539,fong,1
謊,2712,fong,1
鈁,4746,fong,1
枋,4772,fong,1
肓,5648,fong,1
邡,6520,fong,1
訪,1063,fong,2
紡,1218,fong,2
仿,1434,fong,2
晃,2266,fong,2
恍,3387,fong,2
幌,3561,fong,2
彷,3864,fong,2
倣,5124,fong,2
舫,5171,fong,2
榥,5592,fong,2
昉,5902,fong,2
髣,7032,fong,2
怳,7153,fong,2
放,0242,fong,3
況,0356,fong,3
絖,5640,fong,3
貺,6957,fong,3
防,0528,fong,4
房,0697,fong,4
妨,2071,fong,4
魴,3543,fong,4
夫,0613,fu,1
呼,0937,fu,1
枯,1870,fu,1
膚,2466,fu,1
俘,2495,fu,1
敷,2773,fu,1
孵,2851,fu,1
孚,3560,fu,1
挎,4112,fu,1
郛,4225,fu,1
幠,4479,fu,1
伕,4634,fu,1
鄜,4946,fu,1
骷,5699,fu,1
桴,5747,fu,1
鈇,6029,fu,1
刳,6069,fu,1
滹,6145,fu,1
趺,6509,fu,1
跗,6510,fu,1
莩,6889,fu,1
府,0432,fu,2
苦,0722,fu,2
虎,1483,fu,2
撫,1565,fu,2
俯,2649,fu,2
釜,2898,fu,2
斧,3080,fu,2
腑,3892,fu,2
唬,3929,fu,2
拊,4656,fu,2
俛,4820,fu,2
琥,4924,fu,2
莆,4937,fu,2
滏,6144,fu,2
楛,6372,fu,2
黼,6578,fu,2
簠,6832,fu,2
頫,7015,fu,2
嘸,7362,fu,2
富,0621,fu,3
副,0665,fu,3
庫,0998,fu,3
賦,1773,fu,3
褲,2179,fu,3
咐,2825,fu,3
戽,5738,fu,3
乎,0841,fu,4
符,1022,fu,4
扶,1783,fu,4
芙,3873,fu,4
鳧,4815,fu,4
苻,6887,fu,4
婦,1171,fu,5
負,0602,fu,6
附,0808,fu,6
父,0820,fu,6
付,1176,fu,6
腐,1237,fu,6
輔,1702,fu,6
赴,1928,fu,6
傅,1941,fu,6
鮒,3350,fu,6
駙,4160,fu,6
訃,5264,fu,6
蝜,5497,fu,6
祔,6181,fu,6
賻,6507,fu,6
灰,1077,fui,1
恢,1241,fui,1
魁,2960,fui,1
奎,3318,fui,1
詼,4070,fui,1
悝,4352,fui,1
虺,6912,fui,1
洧,5924,fui,2
闠,7002,fui,2
鮪,7040,fui,2
悔,2572,fui,3
晦,3602,fui,3
誨,4151,fui,3
喙,4439,fui,3
複,0843,fuk,1
福,0880,fuk,1
幅,1029,fuk,1
覆,1793,fuk,1
腹,1943,fuk,1
輻,2210,fuk,1
馥,4289,fuk,1
蝠,4870,fuk,1
蝮,5091,fuk,1
鰒,7044,fuk,1
復,0556,fuk,6
服,0585,fuk,6
伏,1306,fuk,6
茯,3282,fuk,6
袱,3314,fuk,6
复,3693,fuk,6
宓,5045,fuk,6
洑,5927,fuk,6
歡,0822,fun,1
寬,0903,fun,1
髖,3897,fun,1
獾,5455,fun,1
覂,5665,fun,1
讙,6953,fun,1
款,0974,fun,2
盥,2856,fun,2
梡,7154,fun,2
風,0308,fung,1
封,0554,fung,1
豐,0856,fung,1
峰,1303,fung,1
鋒,1357,fung,1
瘋,2026,fung,1
蜂,2220,fung,1
楓,3171,fung,1
烽,3603,fung,1
葑,5361,fung,1
渢,5607,fung,1
丰,7156,fung,1
峯,7157,fung,1
灃,7158,fung,1
俸,4203,fung,2
唪,6600,fung,2
諷,2794,fung,3
縫,1420,fung,4
馮,1963,fung,4
逢,2203,fung,4
鳳,1654,fung,6
奉,1774,fung,6
闊,1543,fut,3
蛞,7303,fut,3
Ｇ,7218,Ｇ
家,0071,gaa,1
加,0088,gaa,1
嘉,2119,gaa,1
咖,2682,gaa,1
噶,3036,gaa,1
嘎,3067,gaa,1
枷,3525,gaa,1
伽,3719,gaa,1
迦,3838,gaa,1
鎵,4195,gaa,1
葭,4868,gaa,1
痂,5157,gaa,1
尕,5564,gaa,1
袈,5663,gaa,1
珈,6422,gaa,1
跏,6963,gaa,1
傢,7178,gaa,1
賈,2337,gaa,2
斝,4555,gaa,2
嘏,6084,gaa,2
㗎,7179,gaa,2
價,0496,gaa,3
假,0864,gaa,3
架,0922,gaa,3
駕,1987,gaa,3
稼,2171,gaa,3
嫁,2394,gaa,3
价,7180,gaa,3
階,0284,gaai,1
街,1232,gaai,1
皆,1623,gaai,1
佳,1999,gaai,1
楷,3214,gaai,1
湝,3299,gaai,1
秸,3849,gaai,1
偕,4102,gaai,1
喈,6601,gaai,1
痎,6788,gaai,1
解,0165,gaai,2
界,0371,gaai,3
介,0855,gaai,3
屆,1459,gaai,3
戒,2330,gaai,3
尬,3547,gaai,3
誡,3774,gaai,3
芥,3874,gaai,3
玠,5616,gaai,3
廨,6654,gaai,3
疥,6786,gaai,3
蚧,7192,gaai,3
革,0193,gaak,3
格,0462,gaak,3
隔,1185,gaak,3
胳,2731,gaak,3
咯,2911,gaak,3
骼,3734,gaak,3
圪,4643,gaak,3
仡,4757,gaak,3
鎘,4887,gaak,3
塥,5129,gaak,3
翮,5352,gaak,3
膈,5482,gaak,3
鬲,5700,gaak,3
嗝,5871,gaak,3
茖,6206,gaak,3
曱,7185,gaak,6
監,1151,gaam,1
尷,3548,gaam,1
緘,4789,gaam,1
減,0558,gaam,2
鑒,1450,gaam,3
橄,3935,gaam,3
淦,6142,gaam,3
鑑,7181,gaam,3
間,0130,gaan,1
艱,1464,gaan,1
奸,2169,gaan,1
姦,5131,gaan,1
菅,6471,gaan,1
簡,0661,gaan,2
堿,1212,gaan,2
柬,1268,gaan,2
揀,2895,gaan,2
繭,2991,gaan,2
鹼,3155,gaan,2
筧,5166,gaan,2
梘,7182,gaan,2
澗,3039,gaan,3
諫,3469,gaan,3
耕,1198,gaang,1
甲,0765,gaap,3
夾,1379,gaap,3
鉀,1708,gaap,3
蛤,2917,gaap,3
莢,3509,gaap,3
胛,4460,gaap,3
鋏,4683,gaap,3
岬,4704,gaap,3
郟,4744,gaap,3
浹,4990,gaap,3
梜,5059,gaap,3
蛺,5660,gaap,3
甴,7259,gaat,6
交,0289,gaau,1
膠,0949,gaau,1
郊,2080,gaau,1
蛟,3856,gaau,1
茭,4563,gaau,1
鮫,5110,gaau,1
轇,5269,gaau,1
鵁,6285,gaau,1
跤,7184,gaau,1
搞,0758,gaau,2
攪,1974,gaau,2
絞,2392,gaau,2
狡,2783,gaau,2
鉸,2888,gaau,2
餃,3186,gaau,2
佼,3583,gaau,2
皎,4367,gaau,2
較,0223,gaau,3
教,0312,gaau,3
酵,1695,gaau,3
窖,2547,gaau,3
斠,5314,gaau,3
滘,7183,gaau,3
雞,0947,gai,1
笄,6444,gai,1
偈,5199,gai,2
計,0227,gai,3
繼,0604,gai,3
炔,3145,gai,3
薊,3989,gai,3
蟿,4681,gai,3
髻,5108,gai,3
罽,6462,gai,3
金,0280,gam,1
今,0357,gam,1
甘,1323,gam,1
柑,3673,gam,1
泔,5758,gam,1
紟,6188,gam,1
疳,6787,gam,1
衿,6934,gam,1
感,0420,gam,2
敢,1041,gam,2
錦,1884,gam,2
啖,4965,gam,2
澉,5763,gam,2
噉,7210,gam,2
禁,1217,gam,3
贛,2848,gam,3
噤,4764,gam,3
紺,5345,gam,3
咁,7209,gam,3
撳,5313,gam,6
根,0233,gan,1
跟,0629,gan,1
斤,0812,gan,1
筋,1705,gan,1
巾,2249,gan,1
哏,6305,gan,1
觔,7211,gan,1
僅,0574,gan,2
緊,0578,gan,2
謹,2702,gan,2
瑾,3148,gan,2
覲,3729,gan,2
堇,5360,gan,2
殣,6379,gan,2
饉,6557,gan,2
槿,6716,gan,2
靳,4254,gan,3
艮,6877,gan,3
近,0400,gan,6
庚,2952,gang,1
羹,3701,gang,1
賡,4284,gang,1
粳,4532,gang,1
耿,2555,gang,2
梗,2728,gang,2
埂,3454,gang,2
亙,4162,gang,2
鯁,6567,gang,2
綆,6837,gang,2
骾,7287,gang,2
更,0306,gang,3
急,0801,gap,1
忣,5219,gap,1
芨,6884,gap,1
閤,2244,gap,3
鴿,3655,gap,3
頜,4576,gap,3
郃,5833,gap,3
吉,1580,gat,1
桔,2716,gat,1
詰,4877,gat,1
佶,5122,gat,1
紇,5639,gat,1
姞,5724,gat,1
訖,5817,gat,1
疙,3060,gat,6
篝,3791,gau,1
鳩,4322,gau,1
緱,4675,gau,1
泃,5601,gau,1
勼,6073,gau,1
鬮,6278,gau,1
樛,6374,gau,1
九,0239,gau,2
久,0766,gau,2
糾,1629,gau,2
狗,1739,gau,2
苟,2955,gau,2
韭,3896,gau,2
枸,4329,gau,2
玖,4992,gau,2
笱,5786,gau,2
岣,6636,gau,2
茍,7186,gau,2
究,0376,gau,3
夠,0614,gau,3
救,1208,gau,3
垢,3199,gau,3
捄,3379,gau,3
灸,4006,gau,3
廄,4031,gau,3
咎,4079,gau,3
疚,4364,gau,3
媾,4646,gau,3
搆,5312,gau,3
詬,5819,gau,3
彀,6103,gau,3
覯,6945,gau,3
雊,7187,gau,3
舊,0769,gau,6
柩,5228,gau,6
嘅,7188,ge,3
機,0092,gei,1
基,0211,gei,1
肌,1830,gei,1
饑,2235,gei,1
姬,2780,gei,1
嘰,3437,gei,1
飢,3516,gei,1
羈,3593,gei,1
箕,3606,gei,1
譏,3649,gei,1
畿,3767,gei,1
剞,4435,gei,1
禨,4729,gei,1
鞿,4750,gei,1
犄,4920,gei,1
丌,5118,gei,1
磯,5246,gei,1
璣,5621,gei,1
乩,6293,gei,1
觭,6497,gei,1
錤,6537,gei,1
幾,0238,gei,2
己,0302,gei,2
紀,0689,gei,2
几,3977,gei,2
杞,4114,gei,2
麂,4290,gei,2
掎,5137,gei,2
芑,6880,gei,2
記,0367,gei,3
既,0740,gei,3
寄,1458,gei,3
覬,4019,gei,3
洎,4717,gei,3
穊,5471,gei,3
徛,6660,gei,3
技,0407,gei,6
忌,2638,gei,6
伎,3167,gei,6
妓,3500,gei,6
惎,6350,gei,6
忮,6661,gei,6
芰,6882,gei,6
頸,2245,geng,2
鏡,1353,geng,3
居,0933,geoi,1
裾,4737,geoi,1
腒,5481,geoi,1
椐,5751,geoi,1
啹,7203,geoi,1
崌,7204,geoi,1
舉,0529,geoi,2
矩,1521,geoi,2
踽,3537,geoi,2
齲,5117,geoi,2
莒,5652,geoi,2
偊,5866,geoi,2
櫸,6135,geoi,2
筥,6826,geoi,2
蒟,6897,geoi,2
據,0253,geoi,3
句,0852,geoi,3
鋸,2296,geoi,3
瞿,2763,geoi,3
踞,3610,geoi,3
澽,5932,geoi,3
倨,6060,geoi,3
据,7205,geoi,3
具,0323,geoi,6
巨,1197,geoi,6
懼,2493,geoi,6
炬,3679,geoi,6
遽,3839,geoi,6
鉅,3994,geoi,6
詎,4798,geoi,6
醵,4948,geoi,6
颶,5187,geoi,6
粔,5344,geoi,6
苣,5801,geoi,6
犋,5937,geoi,6
擊,0603,gik,1
激,0756,gik,1
棘,3114,gik,1
戟,4000,gik,1
亟,4897,gik,1
殛,6724,gik,1
極,0288,gik,6
兼,1498,gim,1
縑,5790,gim,1
鶼,7056,gim,1
蒹,7193,gim,1
檢,0638,gim,2
檐,3008,gim,2
撿,3961,gim,2
瞼,5070,gim,2
劍,2006,gim,3
儉,2596,gim,6
堅,0606,gin,1
肩,1618,gin,1
犍,4720,gin,1
鰹,5192,gin,1
鞬,6553,gin,1
謇,2845,gin,2
蹇,5828,gin,2
建,0168,gin,3
見,0226,gin,3
腱,4866,gin,3
件,0207,gin,6
鍵,1203,gin,6
健,1317,gin,6
經,0063,ging,1
京,0475,ging,1
驚,1138,ging,1
荊,2643,ging,1
兢,3518,ging,1
涇,3867,ging,1
惊,4398,ging,1
矜,4671,ging,1
境,0750,ging,2
景,0939,ging,2
竟,1031,ging,2
警,1173,ging,2
剄,3956,ging,2
憬,4169,ging,2
儆,4391,ging,2
璟,5774,ging,2
徑,0652,ging,3
敬,1476,ging,3
莖,1841,ging,3
脛,4127,ging,3
逕,4743,ging,3
獍,5454,ging,3
勁,1544,ging,6
競,1612,ging,6
痙,4145,ging,6
倞,6295,ging,6
喼,7194,gip,1
劫,2236,gip,3
澀,3059,gip,3
硤,5783,gip,3
結,0164,git,3
潔,1447,git,3
拮,4206,git,3
絜,5004,git,3
頡,5279,git,3
擷,5743,git,3
袺,6490,git,3
襭,6940,git,3
杰,2271,git,6
傑,2470,git,6
桀,4404,git,6
榤,4916,git,6
澆,1779,giu,1
驕,2497,giu,1
嬌,2905,giu,1
儌,6298,giu,1
繳,1962,giu,2
轎,2656,giu,2
矯,3053,giu,2
撟,4266,giu,2
皦,4276,giu,2
蹻,7195,giu,2
叫,0375,giu,3
噭,5873,giu,3
撬,3563,giu,6
嶠,6340,giu,6
歌,0825,go,1
哥,0968,go,1
旮,5580,go,1
牁,6414,go,1
菏,6473,go,1
哿,4904,go,2
舸,5799,go,2
嗰,7199,go,2
個,0015,go,3
箇,7200,go,3
腳,0874,goek,3
疆,1674,goeng,1
姜,1968,goeng,1
僵,2529,goeng,1
彊,3932,goeng,1
韁,4198,goeng,1
羌,4218,goeng,1
礓,7190,goeng,1
薑,7191,goeng,1
殭,7292,goeng,1
糨,5638,goeng,6
該,0494,goi,1
陔,5690,goi,1
賅,6011,goi,1
垓,6091,goi,1
改,0299,goi,2
蓋,1018,goi,3
各,0135,gok,3
角,0231,gok,3
覺,0612,gok,3
閣,2055,gok,3
擱,2670,gok,3
郝,2753,gok,3
鉻,2899,gok,3
硌,4490,gok,3
袼,5176,gok,3
桷,5913,gok,3
傕,6062,gok,3
埆,6316,gok,3
玨,7196,gok,3
干,1040,gon,1
杆,1278,gon,1
桿,1624,gon,1
乾,2252,gon,1
肝,2323,gon,1
竿,2610,gon,1
酐,3513,gon,1
矸,3604,gon,1
玕,6421,gon,1
趕,0997,gon,2
稈,2150,gon,2
赶,7198,gon,2
幹,0291,gon,3
旰,6121,gon,3
榦,7197,gon,3
江,0457,gong,1
剛,0829,gong,1
綱,1369,gong,1
缸,1508,gong,1
崗,1820,gong,1
扛,2510,gong,1
岡,2570,gong,1
肛,4734,gong,1
茳,5084,gong,1
豇,5096,gong,1
舡,5798,gong,1
堽,6615,gong,1
矼,6809,gong,1
罡,6850,gong,1
講,0508,gong,2
港,1305,gong,2
耩,5081,gong,2
顜,7271,gong,2
降,0577,gong,3
鋼,0657,gong,3
杠,2215,gong,3
槓,3831,gong,3
絳,4185,gong,3
洚,5760,gong,3
割,1156,got,3
葛,2511,got,3
轕,7201,got,3
高,0077,gou,1
膏,2479,gou,1
糕,2559,gou,1
睪,3383,gou,1
皋,4182,gou,1
篙,4183,gou,1
羔,4676,gou,1
櫜,6375,gou,1
稿,1680,gou,2
杲,3639,gou,2
鎬,3817,gou,2
縞,4791,gou,2
槁,5060,gou,2
暠,5582,gou,2
告,0534,gou,3
誥,4540,gou,3
鋯,4622,gou,3
郜,5835,gou,3
姑,1233,gu,1
孤,1799,gu,1
辜,2790,gu,1
呱,2795,gu,1
咕,2799,gu,1
菇,3140,gu,1
鈷,3303,gu,1
沽,4176,gu,1
蛄,5259,gu,1
菰,5655,gu,1
觚,6496,gu,1
罛,6851,gu,1
胍,6864,gu,1
酤,6982,gu,1
鴣,7202,gu,1
古,0651,gu,2
鼓,1008,gu,2
股,1319,gu,2
估,1749,gu,2
蠱,4498,gu,2
詁,4539,gu,2
牯,5154,gu,2
瞽,5468,gu,2
罟,5974,gu,2
固,0569,gu,3
故,0610,gu,3
顧,0955,gu,3
僱,2500,gu,3
痼,2855,gu,3
雇,2943,gu,3
錮,3364,gu,3
崮,5884,gu,3
攰,7206,gui,6
癐,7207,gui,6
谷,1183,guk,1
菊,2328,guk,1
鞠,3185,guk,1
轂,3776,guk,1
掬,4448,guk,1
穀,4530,guk,1
鵠,4816,guk,1
頊,4890,guk,1
鋦,5103,guk,1
嚳,5553,guk,1
梏,5748,guk,1
鞫,6272,guk,1
瀔,6745,guk,1
麴,7065,guk,1
局,0486,guk,6
跼,4020,guk,6
梮,5318,guk,6
焗,5326,guk,6
挶,5424,guk,6
侷,7208,guk,6
觀,0377,gun,1
官,0501,gun,1
冠,1678,gun,1
棺,3088,gun,1
倌,4077,gun,1
莞,4867,gun,1
管,0205,gun,2
館,1117,gun,2
斡,3807,gun,2
琯,5618,gun,2
朊,6125,gun,2
筦,6445,gun,2
貫,1158,gun,3
灌,1524,gun,3
罐,1860,gun,3
祼,2601,gun,3
瓘,3911,gun,3
涫,4331,gun,3
毌,6137,gun,3
鸛,7063,gun,3
工,0042,gung,1
公,0170,gung,1
供,0551,gung,1
功,0626,gung,1
攻,0831,gung,1
宮,1373,gung,1
弓,1848,gung,1
恭,2589,gung,1
躬,2909,gung,1
龔,3517,gung,1
蚣,4426,gung,1
芎,6879,gung,1
鞏,1574,gung,2
拱,2368,gung,2
珙,5327,gung,2
貢,1292,gung,3
嗊,5206,gung,3
共,0295,gung,6
瓜,1590,gwaa,1
騧,7028,gwaa,1
寡,2686,gwaa,2
掛,1267,gwaa,3
褂,2893,gwaa,3
卦,4104,gwaa,3
挂,5576,gwaa,3
咼,6078,gwaa,3
詿,6226,gwaa,3
啩,7212,gwaa,3
罣,7214,gwaa,3
乖,3316,gwaai,1
拐,2605,gwaai,2
柺,5585,gwaai,2
夬,6617,gwaai,2
蒯,6898,gwaai,2
枴,7216,gwaai,2
怪,1377,gwaai,3
摑,7305,gwaak,3
關,0134,gwaan,1
綸,1844,gwaan,1
鰥,6570,gwaan,1
慣,1239,gwaan,3
摜,5138,gwaan,3
逛,3294,gwaang,6
刮,2088,gwaat,3
颳,3611,gwaat,3
歸,1007,gwai,1
硅,1672,gwai,1
龜,2718,gwai,1
瑰,2902,gwai,1
閨,2967,gwai,1
圭,3378,gwai,1
皈,5244,gwai,1
鮭,5286,gwai,1
溈,5762,gwai,1
邽,6249,gwai,1
媯,6328,gwai,1
珪,6423,gwai,1
刲,6589,gwai,1
氿,6729,gwai,1
軌,1309,gwai,2
鬼,1428,gwai,2
詭,2820,gwai,2
姽,4237,gwai,2
簋,5636,gwai,2
佹,6058,gwai,2
晷,6122,gwai,2
宄,6332,gwai,2
貴,0847,gwai,3
季,0969,gwai,3
桂,1528,gwai,3
饋,2463,gwai,3
悸,3761,gwai,3
癸,4607,gwai,3
蹶,4741,gwai,3
鱖,4813,gwai,3
劌,6590,gwai,3
櫃,2545,gwai,6
跪,2740,gwai,6
柜,2934,gwai,6
匱,4637,gwai,6
簣,6831,gwai,6
蕢,6902,gwai,6
餽,7215,gwai,6
炅,7217,gwai,6
軍,0172,gwan,1
均,0567,gwan,1
君,1145,gwan,1
鈞,2758,gwan,1
筠,3914,gwan,1
錕,4949,gwan,1
鯤,5388,gwan,1
琨,5619,gwan,1
焜,5769,gwan,1
莙,5804,gwan,1
麇,5861,gwan,1
褌,6492,gwan,1
滾,1280,gwan,2
輥,1740,gwan,2
袞,4313,gwan,2
鯀,5191,gwan,2
棍,2342,gwan,3
郡,2295,gwan,6
轟,1877,gwang,1
肱,3594,gwang,1
觥,3876,gwang,1
訇,6500,gwang,1
骨,1149,gwat,1
橘,4142,gwat,1
汩,4482,gwat,1
鶻,4817,gwat,1
榾,6373,gwat,1
掘,1627,gwat,6
倔,3559,gwat,6
崛,4086,gwat,6
隙,1613,gwik,1
綌,4492,gwik,1
虢,5657,gwik,1
洫,5925,gwik,1
郤,6022,gwik,1
湨,6394,gwik,1
闃,7001,gwik,1
扃,6674,gwing,1
炯,3291,gwing,2
迥,3717,gwing,2
絅,5969,gwing,2
顈,7481,gwing,2
戈,2030,gwo,1
渦,2429,gwo,1
撾,2623,gwo,1
果,0189,gwo,2
裹,2684,gwo,2
錁,5842,gwo,2
猓,6159,gwo,2
蜾,6920,gwo,2
過,0046,gwo,3
國,0016,gwok,3
郭,1301,gwok,3
廓,2571,gwok,3
蟈,3947,gwok,3
崞,5883,gwok,3
幗,5887,gwok,3
槨,6715,gwok,3
漷,7298,gwok,3
国,7304,gwok,3
光,0261,gwong,1
胱,3946,gwong,1
桄,6371,gwong,1
廣,0365,gwong,2
獷,4855,gwong,2
誑,5503,gwong,2
捐,2037,gyun,1
娟,3319,gyun,1
鵑,3597,gyun,1
涓,4484,gyun,1
蠲,5370,gyun,1
狷,5614,gyun,1
睊,6804,gyun,1
卷,1090,gyun,2
捲,2108,gyun,2
眷,2863,gyun,3
絹,3040,gyun,3
婘,6624,gyun,3
倦,2765,gyun,6
潏,5239,gyut,3
